DOW,Time,LocationDescription,Beat,District,Ward,CommunityArea,PrimaryType
1,22.83,159,911,9,12,58,19
1,23,175,724,7,16,68,3
1,21.92,19,1124,11,2,27,3
1,21.32,159,1114,11,28,26,3
1,23.92,159,1115,11,28,26,19
1,22.15,159,2422,24,49,1,19
2,0.08,155,1532,15,28,25,19
1,21.48,159,735,7,17,67,14
1,22.2,159,1012,10,24,29,19
1,19.62,155,213,2,3,35,3
1,22.83,159,312,3,20,69,19
1,23.75,105,1033,10,12,30,25
2,0.25,129,422,4,7,46,8
1,22.73,159,734,7,17,67,19
1,22,143,1834,18,42,8,33
1,21.83,159,1012,10,24,29,19
2,0.33,17,823,8,15,66,33
1,22,159,1424,14,1,24,33
1,23.5,19,935,9,11,61,3
7,23,175,421,4,7,43,30
1,21.15,139,512,5,9,49,19
1,20.48,139,524,5,34,53,3
1,19,19,331,3,5,43,4
1,21,139,726,7,15,67,33
4,2.9,153,1212,12,1,24,33
1,13.5,139,413,4,8,47,2
1,20.75,139,431,4,10,51,33
2,0.5,139,833,8,13,65,7
7,22.28,124,2514,25,30,19,25
2,0.25,59,2411,24,50,2,33
1,23.42,159,732,7,6,68,1
2,0.43,175,823,8,15,66,7
2,0.32,159,1523,15,28,25,19
1,22.75,175,2533,25,37,25,8
2,0.5,17,1511,15,29,25,3
2,1.32,155,1123,11,28,27,30
1,23.32,159,1522,15,29,25,2
2,1.5,159,1711,17,39,13,7
1,23.08,19,1221,12,27,23,8
2,0,159,1523,15,37,25,33
1,23.67,129,2032,20,47,4,30
2,0.3,19,623,6,17,44,3
2,0,155,624,6,6,69,33
2,0.28,169,1624,16,45,15,3
2,1.92,75,1934,19,44,6,8
4,13,19,1724,17,33,16,9
1,13.65,139,1612,16,41,9,9
1,21.83,155,2523,25,31,21,3
1,21,139,531,5,9,50,33
2,2,139,1232,12,25,28,4
2,0.33,27,1434,14,32,24,33
2,1,155,2232,22,34,73,19
2,0.75,19,313,3,20,42,3
2,0.97,139,633,6,8,44,3
2,2.33,139,1524,15,37,25,7
1,23.75,19,932,9,16,61,3
7,12,141,223,2,4,38,3
2,3.5,159,1712,17,39,14,33
2,1,19,1222,12,2,27,3
2,0.67,19,1021,10,24,29,4
2,1,19,1034,10,12,30,3
2,3.33,19,2424,24,49,1,3
1,22.08,159,1122,11,28,27,9
5,6.25,124,1932,19,32,7,9
2,3,143,2413,24,50,2,33
1,23.4,163,1833,18,42,8,9
1,21,19,831,8,15,66,2
2,4.42,139,532,5,9,53,7
2,4.52,155,1924,19,44,6,19
7,23,159,2522,25,31,19,7
1,18,142,1231,12,2,28,7
1,23.25,159,513,5,9,49,25
7,21.25,155,1232,12,2,28,3
1,14,159,2212,22,19,72,33
1,12.5,139,2433,24,48,77,4
2,5.83,159,835,8,18,70,18
1,9,19,332,3,5,43,7
2,5,143,1914,19,46,3,3
2,7.17,59,111,1,42,32,3
4,13,159,332,3,5,43,33
4,19,159,2223,22,21,73,25
1,7,139,331,3,5,43,25
1,17.02,156,2532,25,37,25,33
1,18,159,1532,15,28,25,7
7,22,139,2213,22,19,72,23
2,6.58,159,613,6,21,71,33
6,17,19,1133,11,24,26,7
1,21,159,621,6,17,71,33
2,10,139,124,1,2,28,9
2,7,159,511,5,9,49,33
1,9,124,211,2,4,35,18
2,2.73,124,122,1,2,32,7
1,22.5,159,914,9,11,60,18
2,3,159,1622,16,45,11,33
2,6.5,71,925,9,3,37,33
1,18,159,212,2,4,36,7
2,7.75,159,915,9,11,60,2
2,8.25,92,225,2,3,40,9
4,10.92,152,2515,25,37,19,3
7,17,19,631,6,8,44,4
1,11.5,152,235,2,5,41,33
5,9.75,29,1123,11,28,27,25
2,7,139,715,7,15,67,25
1,20,159,1624,16,38,15,7
2,4.58,65,1432,14,32,22,30
3,9,67,1654,16,41,76,8
2,7.83,122,2012,20,40,4,3
1,8.5,19,632,6,6,44,33
1,12,139,831,8,15,66,2
7,15,140,1214,12,42,28,33
2,8.5,139,812,8,13,64,4
1,19,159,2233,22,34,49,33
6,19.5,124,111,1,42,32,7
7,15.5,129,122,1,2,32,7
2,7.83,5,813,8,23,56,34
2,0.02,142,2211,22,19,74,33
2,0.02,19,835,8,18,70,7
7,22.5,159,2221,22,21,71,7
2,6,19,1225,12,2,28,3
1,19,129,823,8,15,66,33
2,7,19,1122,11,27,23,7
1,16,155,423,4,10,46,33
1,20,159,1925,19,46,6,7
1,20.25,156,1422,14,26,23,7
1,22,49,624,6,6,69,33
2,6,124,2212,22,19,72,33
4,13.5,10,813,8,23,56,33
3,12,168,524,5,34,53,33
2,8.25,159,2221,22,21,71,7
4,9.25,155,1821,18,27,8,19
1,8,124,1214,12,27,24,33
7,16.02,57,1113,11,28,26,4
2,9.33,155,1011,10,24,29,2
1,16.75,139,1422,14,26,23,7
2,9.1,92,424,4,10,46,33
7,3,27,1831,18,42,8,33
2,4,19,2422,24,49,1,33
2,9.93,159,222,2,4,39,9
1,9,124,2011,20,40,4,9
2,10.08,155,1115,11,28,26,19
1,20,19,1112,11,27,23,9
1,21.75,122,2411,24,50,2,33
2,10.5,124,122,1,2,32,25
2,7.75,139,513,5,34,49,3
2,9.5,139,531,5,9,49,2
3,14,139,1612,16,41,10,33
2,10.08,175,312,3,20,69,33
6,0.02,124,2024,20,48,3,6
2,9.5,19,1421,14,35,23,23
7,17,159,1422,14,26,23,33
1,12,19,1414,14,26,22,9
1,8,139,731,7,6,68,23
2,9.6,139,711,7,20,68,2
2,10,129,1413,14,26,22,33
2,10.75,139,712,7,16,68,2
2,22,139,222,2,4,39,2
2,6.08,159,725,7,15,67,18
2,10.75,155,421,4,7,43,19
2,7.9,159,623,6,17,69,14
2,8.75,152,1124,11,28,27,34
1,10,139,1925,19,46,6,25
7,21,159,211,2,2,35,33
7,18.33,175,1134,11,24,27,19
2,10.75,156,1113,11,28,26,7
2,10.67,159,1532,15,37,25,19
4,19.73,139,712,7,16,68,19
2,9.5,124,1913,19,46,3,28
2,11.08,155,1533,15,28,25,19
7,13,139,1722,17,45,16,3
1,21.25,156,1923,19,46,6,4
1,14,169,2024,20,48,3,33
1,17,159,2024,20,48,3,7
1,18,140,1212,12,1,24,4
3,12,19,1824,18,42,8,33
5,13.28,19,922,9,12,58,19
2,1,17,1023,10,28,30,18
2,9.85,152,1723,17,33,14,28
7,19,140,915,9,11,60,7
1,11,159,1421,14,1,24,33
1,12,19,1524,15,37,25,3
4,19,139,2233,22,34,75,2
4,21,139,1512,15,29,25,9
2,8,139,1511,15,29,25,7
2,10,139,332,3,5,43,33
5,15,139,1023,10,28,30,33
5,14.5,141,1133,11,24,27,19
3,20,124,423,4,7,46,33
4,9,142,422,4,7,46,33
2,10,139,823,8,15,66,3
2,10.75,155,731,7,6,69,19
2,2,159,421,4,7,43,33
2,10,152,133,1,2,35,2
2,11.17,124,1213,12,27,24,9
5,14.33,155,1115,11,28,26,19
2,9.92,152,813,8,13,62,3
1,16.5,129,122,1,2,32,33
5,11.25,15,1654,16,41,76,9
2,4.08,49,411,4,5,43,25
1,1,129,1722,17,39,14,33
7,10,124,1831,18,42,8,33
5,14,139,2212,22,19,72,7
1,18.5,124,1723,17,39,16,7
1,12.83,1,1524,15,37,25,9
7,21.5,142,1912,19,47,6,33
1,17.42,1,1524,15,37,25,9
3,10.83,75,632,6,6,44,33
1,17,1,1524,15,37,25,9
1,6,159,2521,25,31,19,33
2,7.83,1,1533,15,28,25,9
2,11.32,155,1115,11,28,26,19
2,9.25,152,1014,10,24,29,3
2,9,139,1132,11,24,26,9
7,9,139,2211,22,19,74,9
2,11,19,911,9,14,58,25
2,8.5,159,531,5,9,50,33
4,15.17,152,511,5,6,49,3
2,11.95,159,1115,11,28,26,19
2,10,152,511,5,21,49,3
2,14,159,513,5,9,49,33
2,9.75,19,532,5,9,53,7
2,1.17,159,524,5,34,53,7
1,0.02,124,314,3,20,42,9
5,12,152,1724,17,33,16,3
7,15.5,19,1414,14,35,22,23
2,11.17,159,1134,11,28,27,19
6,21.42,27,1923,19,44,6,33
1,22,141,2411,24,49,2,7
2,10.92,92,925,9,3,37,18
4,0.93,93,911,9,14,63,12
2,11,159,333,3,7,43,33
2,1,159,2412,24,50,2,7
2,11.75,78,2433,24,48,77,33
1,20,139,331,3,5,43,33
2,11.47,124,121,1,42,28,9
2,10,124,122,1,42,32,28
2,11,152,2513,25,29,25,19
2,10,152,1513,15,29,25,19
1,16,155,2531,25,29,25,2
4,10,143,234,2,4,41,33
2,11.72,155,322,3,6,69,19
2,11,152,533,5,9,54,28
2,12.25,155,2233,22,34,49,3
2,11.45,159,1134,11,24,27,3
7,20.5,159,1422,14,35,22,33
1,18,19,1014,10,24,29,25
1,19,159,1122,11,28,26,33
1,21.67,19,1532,15,37,25,2
2,11.63,152,824,8,16,63,3
2,8,159,1631,16,36,17,33
2,12.4,129,1913,19,46,3,3
1,9,159,1624,16,38,15,33
2,12.5,155,1223,12,2,28,25
2,12.17,159,411,4,5,43,19
2,12.17,143,1134,11,24,29,2
2,11.68,159,2221,22,21,73,2
2,13.08,159,1122,11,27,23,19
5,12.85,17,1121,11,27,23,19
2,6,139,324,3,5,69,3
2,8.18,168,1511,15,29,25,1
2,8.83,152,433,4,10,52,2
2,12.5,124,1912,19,47,3,9
1,19.75,124,2512,25,36,19,33
5,10.98,139,934,9,16,61,19
2,11.33,159,1532,15,28,25,19
1,17,139,726,7,15,67,23
2,12.32,129,124,1,2,28,28
2,12.83,159,1021,10,24,29,19
4,12.02,143,624,6,6,69,19
2,12.9,143,822,8,23,62,9
2,7.75,124,1912,19,47,3,33
3,14,159,1211,12,26,24,8
2,13,92,2222,22,21,71,33
1,23,159,2011,20,40,4,33
5,12,156,1834,18,42,8,9
6,15,92,2535,25,27,23,33
2,11.3,129,711,7,16,68,28
1,18.5,124,1422,14,26,22,33
2,11.47,155,732,7,17,68,19
5,18.77,19,731,7,6,69,19
6,5,159,1623,16,45,15,18
2,8,19,933,9,16,61,33
1,8,124,132,1,2,33,33
1,6,19,623,6,17,69,4
2,11,19,925,9,11,61,4
2,13,155,1533,15,28,25,34
5,18.33,155,1115,11,28,26,19
2,3,139,1123,11,28,27,3
2,13.43,19,1713,17,33,14,3
2,8.67,19,421,4,7,43,3
2,12,155,422,4,7,46,2
2,12.48,156,1833,18,42,8,33
2,11.3,19,421,4,7,43,2
2,12.75,156,612,6,17,71,33
2,13.5,19,2431,24,49,1,3
2,12,152,1232,12,2,28,2
7,18,155,222,2,4,39,33
1,21.5,124,1713,17,39,14,7
2,11.45,152,1612,16,41,10,2
5,19.08,175,731,7,6,69,19
2,11.88,19,711,7,3,68,7
7,20,139,824,8,16,66,7
2,8,159,1235,12,25,31,33
1,14,152,332,3,5,43,3
7,9,19,631,6,6,44,9
1,9,19,334,3,7,43,4
2,3,159,1732,17,35,16,18
7,9.5,19,312,3,20,69,31
1,16,19,931,9,20,61,33
2,11,155,914,9,25,34,33
6,12,139,224,2,3,38,9
2,17,159,323,3,6,69,33
1,15.98,124,532,5,9,53,25
2,14.5,92,1533,15,28,25,19
7,13,155,1115,11,28,26,30
2,10.5,96,624,6,6,44,25
2,14.67,155,1913,19,46,3,19
2,11,139,1024,10,12,30,3
7,10.5,142,2512,25,29,19,2
3,9,152,533,5,9,54,33
2,12.77,139,914,9,25,34,4
2,12.73,155,323,3,6,69,25
2,13,152,222,2,4,39,19
2,12.75,142,1114,11,28,26,19
2,8.25,139,814,8,23,56,4
1,9,139,1225,12,25,28,9
2,13.42,159,1033,10,12,30,19
2,13.78,152,712,7,16,68,3
7,16.73,75,2533,25,37,25,33
2,11.17,156,2535,25,26,22,30
2,12.5,152,1532,15,28,25,2
2,12.5,152,1531,15,37,25,3
2,12,139,1524,15,37,25,3
2,11.67,159,1524,15,37,25,18
1,18.53,19,711,7,16,68,3
2,11,159,1623,16,45,15,18
2,12.75,17,1524,15,37,25,2
2,14.92,77,112,1,42,32,33
2,14.5,140,1712,17,39,14,7
5,12,159,2423,24,49,1,32
2,14.75,159,722,7,6,69,7
1,17,168,1131,11,24,26,33
1,23,159,732,7,6,68,18
1,7.5,159,1732,17,35,21,33
2,15.32,92,2233,22,34,49,33
6,15,57,122,1,2,32,7
2,13.45,19,312,3,20,42,4
2,12,129,1724,17,33,14,18
6,10.5,152,2211,22,19,74,33
1,22,139,2534,25,37,23,25
1,15,159,1733,17,33,21,7
2,13.47,159,1121,11,27,23,19
2,1.87,143,1831,18,42,8,4
2,15,155,1235,12,25,31,19
2,15,155,2032,20,47,4,19
1,8,159,1424,14,1,24,33
1,8,124,823,8,15,66,9
2,14,59,712,7,16,68,30
1,18,19,931,9,20,61,33
2,15.17,155,834,8,13,70,25
2,15,159,932,9,16,61,25
1,13.33,152,532,5,9,53,3
2,13.5,17,1414,14,35,22,33
2,14,124,113,1,42,32,33
1,19,156,1633,16,38,15,33
2,6,159,2512,25,29,19,18
2,13.12,75,123,1,2,32,33
2,14.57,159,1012,10,24,29,19
2,15.67,96,2024,20,48,3,33
2,15.67,17,934,9,16,61,19
7,18.88,139,934,9,20,61,25
2,15.5,155,2515,25,37,19,3
2,12.3,152,821,8,14,57,33
2,4.75,159,1224,12,27,28,33
2,15.25,143,1935,19,43,7,33
2,14,140,222,2,4,39,33
2,7,140,1723,17,33,14,7
7,12,159,2522,25,31,19,33
6,12,139,2512,25,29,19,4
1,19.5,124,924,9,12,61,33
2,15.75,19,931,9,20,61,33
2,16.25,19,624,6,6,69,25
5,18,143,1411,14,35,21,33
2,12,141,311,3,20,40,7
2,12,19,1121,11,27,23,9
2,14.75,156,113,1,2,32,33
2,14,155,122,1,2,32,3
2,14.67,139,1024,10,22,30,9
2,0.02,159,835,8,18,70,7
1,23.5,19,1113,11,28,25,2
7,20.5,159,1115,11,28,26,2
7,16,139,913,9,11,60,25
2,16.33,155,1912,19,47,6,19
2,16.17,19,323,3,6,69,2
2,16.67,159,2232,22,9,73,19
2,14.5,69,122,1,42,32,7
2,13.45,19,312,3,20,42,4
2,11,124,2423,24,49,1,33
2,14.73,155,1014,10,24,29,33
2,9,139,735,7,17,67,9
6,13,139,933,9,16,61,3
2,16.42,124,2422,24,49,1,3
2,8.5,139,434,4,10,51,4
2,16.75,96,1223,12,2,28,8
2,6,159,1232,12,2,28,33
1,16.75,139,1231,12,2,28,9
2,14.83,159,2531,25,29,25,33
2,11,142,835,8,18,70,33
2,15.08,159,814,8,23,56,19
3,18.7,124,1833,18,42,8,9
6,12,139,813,8,13,62,9
2,8,159,833,8,13,65,18
2,14.25,65,2512,25,36,19,19
2,15.58,139,511,5,6,49,8
2,14.5,159,825,8,15,66,33
4,12,124,1212,12,32,24,9
7,9,139,512,5,9,49,33
1,18.5,159,1914,19,46,3,25
6,9,143,1414,14,35,22,9
5,20,124,1733,17,33,16,9
2,16.68,159,421,4,7,43,19
2,4,19,1924,19,44,6,4
7,8,19,132,1,2,33,4
2,11.83,59,111,1,42,32,33
3,11.42,151,222,2,4,39,3
2,0.02,139,1812,18,43,7,9
2,12,124,1924,19,44,6,9
2,9.25,152,713,7,16,67,2
2,13.5,139,714,7,15,67,3
1,21,159,1414,14,35,22,7
2,15.75,153,726,7,15,67,2
2,16.7,140,1912,19,47,6,8
2,16.17,19,2525,25,26,22,3
2,17.73,155,1132,11,24,29,33
2,17.23,159,2221,22,21,73,19
2,15.77,155,234,2,4,41,3
2,10,159,221,2,4,38,18
2,13.18,159,235,2,5,41,25
7,12,129,922,9,12,61,33
2,17.83,141,1021,10,24,29,3
2,17.33,2,2533,25,37,25,8
2,16.75,155,1022,10,24,30,30
2,16.43,141,331,3,5,43,3
2,10.75,159,124,1,2,28,33
2,16.75,159,1023,10,28,30,33
2,16.5,19,412,4,8,47,3
2,11,155,825,8,15,66,2
2,15,153,1034,10,25,31,33
2,16.75,175,1921,19,47,5,33
2,16.92,139,1212,12,1,24,8
2,10.85,139,214,2,4,36,23
2,16.25,71,1133,11,28,27,33
5,21,17,1013,10,22,30,6
2,16.25,140,2412,24,50,2,18
5,9,139,323,3,6,69,9
2,16.67,159,235,2,5,41,18
5,14.6,19,1935,19,43,7,33
7,10,19,331,3,5,43,25
7,12.5,122,313,3,20,42,2
2,14,139,713,7,16,67,25
2,17.83,124,1832,18,42,8,33
2,16.65,175,1112,11,27,23,25
2,18.42,19,323,3,6,69,3
7,0.02,139,1122,11,27,23,4
2,17.62,159,1121,11,27,23,28
2,14.68,19,1112,11,27,23,2
2,8,140,823,8,15,66,4
2,13.75,19,1122,11,27,23,4
2,9.5,19,1122,11,28,26,3
5,13.5,142,2233,22,34,49,33
2,17.25,159,1215,12,27,24,33
2,14.92,19,835,8,18,70,25
2,9,152,1922,19,44,6,33
2,18.82,155,1533,15,28,25,19
2,13.5,139,822,8,13,62,4
5,13.5,139,1424,14,1,24,25
2,16.42,129,632,6,6,44,25
2,15.83,152,424,4,10,46,2
2,10,159,2515,25,30,19,7
4,9,139,2533,25,37,23,31
2,4,92,623,6,6,44,33
2,19,95,1823,18,27,8,8
1,8,152,2222,22,21,71,3
2,17.17,155,2032,20,47,4,3
2,18.17,19,133,1,2,35,9
2,12,143,122,1,2,32,33
2,13.42,139,1225,12,25,28,9
2,15,77,812,8,23,64,33
2,10.5,142,214,2,4,36,33
2,10,159,312,3,20,42,7
2,18.53,155,322,3,6,69,19
2,11.52,159,1113,11,28,25,8
1,12,175,132,1,2,33,18
4,12,139,1235,12,25,31,25
1,16,159,1731,17,38,16,7
2,17,141,532,5,9,53,7
5,12,139,123,1,2,32,9
5,12,159,921,9,14,58,7
2,17.5,19,931,9,20,61,33
2,19.02,127,1513,15,29,25,19
2,18.75,159,2232,22,34,73,19
2,15,152,1022,10,24,29,25
2,16.95,159,2534,25,37,23,3
2,19.42,159,1122,11,28,26,19
2,19.37,17,312,3,20,42,19
2,16.17,159,2525,25,31,20,9
2,18.08,96,1931,19,32,6,33
2,18.03,139,835,8,18,70,3
2,18,159,813,8,13,65,33
2,16.67,156,211,2,4,35,7
3,12,140,813,8,13,65,4
2,17.5,64,733,7,6,68,3
2,19.08,78,211,2,4,35,33
6,17,124,215,2,3,38,25
2,9.67,96,2032,20,47,4,33
2,18.53,19,1021,10,24,29,3
4,18,159,2032,20,47,4,33
2,17.92,159,811,8,23,64,19
2,12,19,2011,20,40,4,25
2,18.1,155,421,4,7,43,19
1,18,139,1613,16,41,10,3
1,14,139,423,4,7,46,7
7,12.27,139,1612,16,41,10,25
2,16.17,155,224,2,3,38,3
2,17.33,75,111,1,42,32,33
2,14.75,29,231,2,3,40,33
1,11,159,724,7,17,68,25
2,10.85,139,312,3,20,69,2
2,8.33,19,334,3,7,43,4
2,19.23,36,1233,12,2,28,19
2,18,19,215,2,3,38,2
2,17.42,155,623,6,6,69,30
6,14,159,614,6,21,71,3
2,17.47,159,723,7,6,68,7
2,18.6,19,724,7,17,68,3
2,19.42,159,613,6,21,71,25
2,16.52,19,715,7,15,67,3
1,18,168,735,7,17,67,4
2,9,142,1424,14,1,24,33
1,14,19,631,6,6,44,2
2,14,19,414,4,8,43,7
2,19.5,124,121,1,42,28,8
2,17.55,175,1411,14,35,21,3
2,15,159,1131,11,24,26,25
2,19.05,156,832,8,15,66,33
2,15.33,152,1012,10,24,29,2
2,9,139,1512,15,29,25,9
2,8.5,155,1012,10,24,29,2
2,13,155,921,9,14,58,9
5,15.33,152,632,6,8,44,3
2,14,117,1612,16,41,10,8
2,8.92,139,612,6,21,71,4
2,20,101,1633,16,38,15,3
1,18.5,139,2234,22,34,75,2
2,17.25,139,412,4,8,45,25
1,17.5,139,1634,16,38,15,9
2,12,139,2211,22,19,74,9
2,9.08,139,622,6,21,44,3
2,20.08,103,114,1,42,32,8
2,14.5,139,614,6,18,71,3
7,15,141,2213,22,19,72,2
2,20.2,159,1114,11,28,26,19
2,18.17,19,631,6,6,44,3
2,16.83,152,831,8,15,66,23
2,14.5,152,312,3,20,69,2
7,21,141,231,2,20,40,3
5,19,159,1532,15,28,25,33
2,13.5,139,1513,15,29,25,9
2,17,156,1531,15,37,25,2
2,19.92,159,1115,11,28,26,34
5,11.33,124,1133,11,28,27,9
2,17,124,1531,15,37,25,33
2,20.08,155,1014,10,24,29,19
2,14.5,19,1511,15,29,25,3
2,20.92,155,1112,11,27,23,19
2,11,159,1134,11,24,27,25
2,16.17,139,825,8,15,66,23
2,19.28,19,311,3,20,40,3
1,18,19,2515,25,37,19,23
3,14,141,924,9,20,61,33
2,19.27,155,1533,15,28,25,19
2,20.12,142,822,8,14,63,34
2,20.25,159,422,4,7,46,19
4,0.02,19,1213,12,1,24,23
2,21.05,159,731,7,17,69,19
2,14,19,414,4,8,43,7
2,20.67,139,323,3,6,69,3
6,18,139,412,4,8,48,4
2,20.15,124,412,4,8,48,3
2,21.42,159,724,7,17,68,19
2,19.58,159,414,4,7,43,19
4,9,156,422,4,7,46,9
2,19.47,19,1113,11,28,25,34
2,6.75,129,431,4,10,51,7
2,11.42,150,511,5,8,50,33
4,9,139,432,4,10,52,9
2,20.38,159,1522,15,29,25,25
2,16.5,19,1212,12,32,24,4
1,20,139,1223,12,2,28,9
2,16.5,159,913,9,11,60,7
6,12,19,1022,10,24,29,4
2,9,19,2011,20,40,4,4
2,19.5,139,2232,22,34,73,25
2,11.5,159,1723,17,39,16,7
2,21,19,2424,24,49,1,3
2,18.83,127,2422,24,49,1,3
2,21.5,103,111,1,42,32,8
2,20.98,19,924,9,3,61,19
2,21.55,159,815,8,23,56,19
2,20.83,139,812,8,13,64,3
2,7.33,140,931,9,20,61,18
2,16.07,127,132,1,2,33,9
2,21.2,143,1724,17,33,14,25
2,10.5,19,732,7,17,69,33
2,20.5,129,1223,12,2,28,7
2,11,139,133,1,3,35,4
2,15,155,831,8,15,66,2
2,14,129,1034,10,25,31,33
2,20.58,159,2431,24,49,1,34
2,21.63,139,331,3,5,43,4
2,21.5,155,424,4,7,46,3
2,21.85,155,1533,15,28,25,19
1,18,139,432,4,10,52,7
2,21.02,17,522,5,34,53,19
2,21.67,159,2514,25,31,19,19
2,21.15,155,223,2,4,39,19
2,22.13,17,1624,16,45,15,19
2,21.5,19,624,6,6,69,3
2,19.13,156,913,9,11,60,25
2,21.67,139,511,5,9,49,3
2,22.6,139,1524,15,37,25,2
2,19.07,19,1112,11,27,23,7
2,19.5,124,1831,18,42,8,33
2,22.83,95,823,8,15,66,19
1,23,159,614,6,21,71,7
2,14.92,159,1133,11,24,29,7
2,21.78,155,623,6,6,69,3
2,22.92,17,423,4,7,46,19
2,21.28,155,2213,22,21,73,25
2,21.75,159,1133,11,24,26,19
2,20.13,155,312,3,20,42,34
2,21,19,2514,25,30,19,3
5,16.68,19,923,9,14,63,9
2,22.08,159,1122,11,27,23,19
2,20.33,159,822,8,14,63,19
2,1,159,1111,11,37,23,33
6,21,159,1111,11,37,23,33
6,12,139,313,3,20,42,25
6,6.5,19,332,3,5,43,33
4,12,124,2211,22,19,72,2
2,18.6,92,2232,22,34,73,33
2,21.35,19,611,6,17,71,19
2,12,150,1034,10,25,31,7
2,21.75,59,1123,11,28,27,19
7,14.58,49,1522,15,29,25,3
2,21.75,124,1423,14,26,24,17
2,20.25,159,2412,24,50,2,7
1,22,124,1911,19,47,4,3
2,21.73,143,422,4,7,46,9
2,16.67,155,1111,11,37,23,9
2,23.75,19,1012,10,24,29,3
2,22.33,159,2412,24,50,2,19
2,23.17,19,1031,10,22,30,3
2,23.78,159,421,4,7,43,25
2,22.83,36,133,1,3,35,3
1,0.02,175,2413,24,50,2,18
2,22.25,124,1821,18,27,8,8
2,23.92,159,912,9,12,59,19
2,23.2,159,523,5,34,53,19
2,22.92,159,922,9,14,58,19
7,11,139,531,5,9,49,23
2,22.57,159,611,6,18,71,33
2,11.33,159,1013,10,22,29,19
2,23.12,159,611,6,21,71,25
6,12,19,1723,17,33,14,33
3,0.83,139,932,9,16,61,3
2,22.8,139,1112,11,27,23,19
3,0.03,159,1031,10,22,30,19
2,23.58,17,1014,10,24,29,30
3,0.43,159,321,3,6,42,7
2,20.08,159,1424,14,1,24,33
2,22,159,2532,25,37,25,8
3,0.25,175,2535,25,26,22,7
1,21,19,1224,12,27,28,3
2,17,159,823,8,15,66,18
3,1.27,71,915,9,3,34,3
2,23.5,155,1423,14,26,24,6
2,18.88,159,1135,11,28,29,9
3,0.75,139,713,7,16,67,3
3,0.17,19,225,2,3,40,3
3,0.13,141,1821,18,27,8,3
2,5.75,141,1823,18,27,8,9
2,21.33,75,821,8,14,58,33
3,1.58,19,1512,15,29,25,3
2,18.5,139,815,8,23,56,4
3,0.5,155,1011,10,24,29,30
3,1.62,19,1012,10,24,29,3
2,21.88,159,631,6,6,44,19
3,2.17,159,2511,25,36,18,19
3,2.32,159,2515,25,29,19,19
7,11,19,712,7,16,68,33
3,3.67,159,2521,25,31,19,25
2,10.5,19,1731,17,38,16,7
2,23,159,1613,16,41,10,19
2,23,19,624,6,6,69,3
3,1.55,124,1623,16,45,15,19
3,0.45,159,624,6,6,69,6
3,0.5,159,1631,16,36,17,25
3,3.3,19,735,7,17,67,3
3,2.5,19,733,7,17,68,7
3,2.03,159,1533,15,24,25,19
2,23.92,124,333,3,5,43,7
3,3.83,19,1021,10,24,29,2
3,4.7,19,422,4,7,46,3
2,20.98,129,512,5,9,50,34
3,3.5,159,624,6,6,69,3
3,2.35,59,1811,18,32,7,30
2,12,19,2413,24,50,2,9
3,2.33,156,1932,19,32,7,30
3,3.17,159,2514,25,30,19,3
2,22,17,935,9,3,37,30
1,11.5,95,111,1,42,32,2
3,0.67,139,1124,11,2,27,7
2,22.5,19,1134,11,24,27,7
3,5.67,19,312,3,20,69,33
7,0.02,139,1032,10,22,30,23
2,20.5,159,1633,16,38,17,33
3,6.25,159,631,6,6,44,18
3,5.08,159,1034,10,12,30,7
3,4,139,733,7,17,68,33
2,21,159,2213,22,19,72,33
2,20,77,2213,22,19,72,33
3,1.5,141,2515,25,30,19,33
2,21,159,733,7,17,68,33
3,5.73,139,1112,11,27,23,3
2,20.5,159,411,4,8,45,33
2,19.5,159,2423,24,49,1,33
3,6.75,159,1024,10,24,30,7
2,21,159,1433,14,1,24,33
2,12,139,2422,24,49,1,6
4,12.17,159,813,8,13,65,7
3,6.75,117,832,8,15,66,2
2,17,159,324,3,5,69,33
3,0.02,142,411,4,8,45,7
7,4,159,835,8,18,70,7
2,20,159,1034,10,12,30,7
2,19,159,411,4,8,45,33
3,13.32,156,1232,12,2,28,9
3,7.35,64,1915,19,46,3,3
1,15,124,1833,18,42,8,33
1,14,159,414,4,7,46,25
7,4,19,1722,17,39,16,3
3,6.83,155,1021,10,24,29,3
2,21,156,1712,17,39,14,4
2,13,139,611,6,21,71,7
3,3,159,1722,17,38,16,18
3,4,159,1034,10,12,30,7
2,17,159,221,2,3,38,33
2,22.5,159,1935,19,43,7,33
2,17,168,2531,25,29,25,33
7,20.25,139,1414,14,35,22,23
3,8.25,175,825,8,15,66,25
3,3,159,632,6,8,44,7
2,17,159,2213,22,19,72,33
2,16.17,139,532,5,9,53,33
3,5.75,19,1121,11,27,23,3
3,7.67,19,1133,11,24,26,7
2,19,140,2535,25,30,23,4
3,2,65,1824,18,42,8,33
3,2,159,412,4,8,45,33
6,1.17,139,215,2,3,38,7
7,13,72,113,1,42,32,9
5,19.5,139,2411,24,50,2,25
2,8,17,2432,24,49,1,2
2,13,139,1733,17,33,21,33
3,8,159,1411,14,1,21,33
2,18,159,1421,14,26,23,7
1,12.5,19,1213,12,1,24,33
5,9,19,1824,18,43,8,9
4,16.33,155,1124,11,28,27,19
4,11.75,159,1222,12,2,27,19
2,18.5,159,1821,18,43,8,33
3,17.45,155,1133,11,24,27,19
2,12,73,2211,22,19,72,25
3,6.75,19,222,2,4,39,4
