DOW,Time,LocationDescription,Beat,District,Ward,CommunityArea,PrimaryType
4,8,152,511,5,6,49,3
4,10.5,155,1533,15,28,25,19
3,8,159,412,4,8,48,7
6,14,19,1432,14,32,22,4
7,13,141,1111,11,37,23,33
4,10.67,155,311,3,20,40,25
6,20,139,1512,15,29,25,33
4,8.67,159,324,3,5,43,25
4,7,139,831,8,18,66,3
1,8,139,1135,11,2,27,31
4,9.5,152,211,2,2,35,3
3,10.33,159,1115,11,28,26,7
4,11,124,1834,18,42,8,8
3,12,153,211,2,2,35,3
4,10.92,155,1511,15,29,25,3
4,12,124,1533,15,28,25,33
5,9,124,1834,18,42,8,9
4,11.07,17,2531,25,29,25,19
3,15.38,139,2533,25,37,25,9
3,14.5,124,2212,22,34,75,9
4,10,159,532,5,9,53,3
7,15,19,1115,11,28,26,9
4,11.33,155,1122,11,28,26,19
3,23.83,159,523,5,34,53,7
3,6.5,159,2013,20,48,77,2
4,9.75,139,511,5,9,49,7
1,11,152,423,4,7,46,3
3,16.67,155,423,4,7,46,3
4,9.83,139,511,5,9,49,7
2,21,1,1533,15,24,25,9
5,17.83,156,1432,14,1,22,33
2,9,152,2525,25,35,22,3
4,8,140,2525,25,30,22,4
4,3.5,159,2525,25,30,20,7
3,14,139,1711,17,50,13,4
6,15,19,314,3,20,42,33
3,14.5,150,713,7,15,67,33
4,10.25,19,2534,25,37,23,28
4,11.25,159,311,3,20,40,25
3,16.5,64,932,9,16,61,33
6,1,27,1924,19,44,6,33
4,8.5,139,2234,22,34,75,25
4,9.85,142,713,7,16,67,33
2,11,19,2223,22,21,71,3
3,8.63,139,623,6,6,44,25
4,11.83,17,2222,22,21,71,30
4,2.5,159,2513,25,36,25,18
4,10.13,95,423,4,10,46,3
4,10.25,139,611,6,17,71,4
3,17,73,632,6,6,44,4
1,13.42,155,711,7,20,68,30
4,10.33,142,715,7,15,67,33
3,15.08,152,1533,15,24,25,3
4,11.42,96,912,9,11,59,8
4,2.5,27,1832,18,42,8,3
4,11,19,931,9,20,61,7
4,3,159,1733,17,33,16,7
4,9,159,1033,10,12,30,33
3,23,159,2222,22,21,71,7
4,9.75,159,725,7,17,67,33
3,10.75,124,111,1,42,32,2
3,21,139,1633,16,38,15,4
4,18.27,139,611,6,21,71,19
4,11.45,159,421,4,7,43,25
4,12.33,92,1533,15,24,25,8
4,11.08,152,821,8,14,57,3
3,19,129,2512,25,36,18,33
4,11.45,139,833,8,13,65,25
4,11,19,832,8,15,66,3
4,11.67,19,2534,25,27,23,3
4,9.25,19,1033,10,12,30,3
6,9,19,1533,15,28,25,9
4,10.33,155,1612,16,41,10,3
4,13,152,933,9,16,61,2
3,10.25,152,1612,16,41,10,3
1,9,124,633,6,8,44,9
4,6,124,124,1,2,28,6
4,11.17,152,1812,18,43,7,3
2,18.17,16,813,8,23,56,19
4,9.33,152,1612,16,41,10,3
4,10.5,19,1115,11,28,26,19
4,10.63,156,124,1,2,28,33
4,12.25,139,1724,17,33,16,3
4,12.37,17,1121,11,27,23,19
4,12.33,92,1533,15,28,25,19
5,11.83,139,331,3,5,43,19
1,7,159,1813,18,43,7,33
4,18.5,159,232,2,20,40,7
3,10,159,1532,15,28,25,18
4,11.67,139,1031,10,22,30,3
4,12.7,155,1533,15,28,25,19
3,1,159,1713,17,39,14,7
4,5,159,2515,25,30,19,30
2,10,139,2423,24,49,1,9
2,15.63,155,1112,11,27,23,19
5,9,139,2233,22,34,49,9
4,12.33,152,314,3,5,42,3
7,10,168,1432,14,32,22,33
3,18.33,140,912,9,11,59,4
4,12.5,143,113,1,42,32,8
4,9.5,19,931,9,16,61,3
4,7,49,1423,14,26,24,7
4,1,27,1832,18,42,8,3
4,12,139,414,4,8,43,4
4,12.45,19,1121,11,27,23,2
4,9.5,139,1632,16,36,17,3
1,6.75,159,1133,11,24,27,33
3,7,159,1134,11,28,27,7
4,11.58,19,733,7,17,68,7
4,11.75,19,1122,11,27,23,3
7,17.5,101,1231,12,2,28,3
4,10.27,95,1111,11,28,23,3
4,13.5,156,2532,25,37,25,33
4,13.58,124,111,1,42,32,8
4,3,159,422,4,7,46,33
4,12.88,155,1234,12,25,31,2
4,12.08,152,1723,17,39,14,3
4,8,139,1622,16,45,11,23
1,13,156,1833,18,42,8,33
4,13,34,1434,14,32,22,33
4,10,19,1414,14,35,22,3
1,16.02,156,1833,18,42,8,33
5,9,139,215,2,3,38,9
4,11.75,141,631,6,8,44,8
4,12.42,49,133,1,2,35,33
4,12.5,139,912,9,12,59,7
4,12.08,159,612,6,21,71,30
5,17.63,155,733,7,17,68,19
4,10.33,159,114,1,42,32,2
4,12.17,103,2222,22,21,73,3
4,10.67,139,732,7,6,68,19
4,12.07,152,2232,22,21,73,3
4,10,152,933,9,16,61,2
1,8,139,815,8,14,57,9
5,11.58,152,933,9,16,61,3
4,8,139,824,8,16,66,9
4,12,19,414,4,8,43,3
5,12.63,19,1133,11,24,29,19
3,21,139,1033,10,12,30,9
1,12,159,1823,18,27,8,33
1,8.5,129,1834,18,42,8,33
4,12,139,823,8,13,65,3
4,8.75,159,1512,15,29,25,7
4,13.17,19,423,4,7,46,33
5,13.67,155,1112,11,27,23,19
4,11.08,155,224,2,3,38,3
3,15,159,1223,12,2,28,18
7,16.5,156,1931,19,32,7,33
4,13.5,156,1834,18,42,8,33
4,12.25,155,1135,11,28,29,3
4,9.6,124,1833,18,42,8,33
4,13.75,159,1814,18,43,7,33
4,13.68,155,1132,11,24,29,19
4,13.67,175,1132,11,24,29,19
