Date,Time,LocationDescription,Beat,District,Ward,CommunityArea,PrimaryType
03/14/2015 03:30:00 AM,,101,411,4,8,43,3
03/17/2015 02:00:00 PM,,129,433,4,10,55,7
03/18/2015 04:00:00 PM,,159,2432,24,40,1,33
12/15/2014 04:00:00 PM,,75,1834,18,42,8,9
03/18/2015 07:00:00 PM,,124,1533,15,28,25,7
03/19/2015 07:15:00 AM,,159,1622,16,45,11,33
03/18/2015 03:15:00 PM,,122,1225,12,2,28,2
03/18/2015 06:30:00 PM,,159,1235,12,25,31,7
03/18/2015 09:00:00 PM,,159,1224,12,27,28,7
03/18/2015 05:01:00 PM,,124,932,9,16,61,3
03/19/2015 07:25:00 AM,,155,432,4,10,52,2
03/18/2015 07:51:00 AM,,129,1831,18,42,8,33
03/18/2015 10:00:00 PM,,139,1011,10,24,29,7
03/19/2015 06:50:00 AM,,92,322,3,6,69,33
03/19/2015 07:30:00 AM,,19,312,3,20,42,3
03/19/2015 07:00:00 AM,,159,1723,17,39,14,33
03/14/2015 03:00:00 AM,,159,1632,16,36,17,7
03/19/2015 07:10:00 AM,,19,2514,25,30,19,2
01/23/2002 12:00:00 AM,,19,624,6,8,69,33
03/19/2015 05:09:00 AM,,19,1533,15,28,25,19
03/19/2015 06:27:00 AM,,19,322,3,6,69,3
03/19/2015 08:30:00 AM,,159,815,8,23,56,2
03/19/2015 07:30:00 AM,,139,835,8,18,66,3
03/18/2015 11:30:00 PM,,129,815,8,23,56,7
03/19/2015 06:57:00 AM,,124,835,8,18,70,25
03/18/2015 10:00:00 AM,,124,1634,16,38,15,18
03/18/2015 09:30:00 AM,,155,1634,16,30,15,30
03/16/2015 09:00:00 PM,,159,1423,14,26,24,33
03/19/2015 07:30:00 AM,,159,2522,25,31,20,18
03/16/2015 08:00:00 PM,,159,1431,14,1,22,33
03/01/2015 05:00:00 PM,,159,1414,14,35,22,33
03/18/2015 09:00:00 AM,,139,1921,19,47,5,9
12/15/2014 04:30:00 PM,,75,1834,18,42,8,9
03/19/2015 05:10:00 AM,,159,824,8,14,63,18
03/14/2015 08:00:00 AM,,159,1632,16,36,17,7
03/18/2015 01:30:00 PM,,78,1925,19,44,6,33
02/12/2015 09:00:00 AM,,139,414,4,7,43,25
03/19/2015 07:59:00 AM,,155,1532,15,28,25,2
03/19/2015 08:00:00 AM,,159,1811,18,43,7,7
03/19/2015 12:01:00 AM,,159,1532,15,28,25,7
03/10/2015 03:30:00 PM,,96,211,2,4,35,3
03/18/2015 09:35:00 PM,,27,1622,16,45,11,17
03/18/2015 09:30:00 PM,,159,624,6,6,69,33
11/15/2014 12:00:00 PM,,19,631,6,8,44,25
02/04/2015 01:07:00 PM,,152,621,6,21,44,16
02/11/2015 08:00:00 AM,,139,1912,19,47,3,9
03/19/2015 09:54:00 AM,,49,624,6,6,69,33
03/18/2015 09:00:00 PM,,140,1133,11,24,29,4
03/18/2015 09:00:00 AM,,139,2223,22,21,71,25
03/19/2015 09:30:00 AM,,129,2514,25,30,19,33
03/19/2015 01:00:00 AM,,77,835,8,18,70,7
03/18/2015 03:05:00 PM,,153,921,9,12,58,2
