Date,Time,LocationDescription,Beat,District,Ward,CommunityArea,PrimaryType
03/22/2015 09:42:00 PM,,19,823,8,15,66,25
03/23/2015 03:00:00 PM,,139,815,8,23,57,3
03/21/2015 01:00:00 AM,,155,1014,10,24,29,31
03/20/2015 04:25:00 PM,,143,1013,10,22,30,25
03/23/2015 03:00:00 PM,,19,823,8,13,65,3
03/23/2015 06:00:00 PM,,155,213,2,3,35,3
03/23/2015 11:20:00 AM,,159,1233,12,25,31,33
03/22/2015 02:00:00 PM,,139,1011,10,24,29,4
02/23/2015 12:01:00 AM,,139,822,8,14,63,9
03/23/2015 07:00:00 AM,,142,833,8,18,70,4
03/13/2015 10:00:00 AM,,159,411,4,8,45,33
03/23/2015 04:25:00 PM,,155,824,8,16,63,33
03/23/2015 01:00:00 PM,,159,823,8,15,66,3
03/23/2015 12:10:00 PM,,124,432,4,10,52,9
03/22/2015 10:00:00 PM,,159,831,8,15,66,18
03/23/2015 03:55:00 PM,,139,2011,20,40,4,3
03/01/2015 12:01:00 AM,,139,832,8,17,66,9
03/23/2015 03:10:00 PM,,122,2012,20,40,4,3
03/22/2015 07:30:00 PM,,36,533,5,9,54,3
03/23/2015 06:30:00 PM,,139,1522,15,29,25,25
03/23/2015 05:30:00 PM,,124,124,1,2,28,33
03/16/2015 10:30:00 PM,,124,1531,15,37,25,7
03/19/2015 04:30:00 PM,,19,1531,15,37,25,33
03/23/2015 09:00:00 AM,,129,113,1,2,32,33
03/23/2015 07:30:00 PM,,19,1711,17,40,13,3
03/21/2015 02:00:00 AM,,19,1832,18,42,8,6
03/23/2015 05:44:00 PM,,139,733,7,17,68,4
03/23/2015 07:15:00 PM,,139,824,8,16,63,33
03/07/2015 03:00:00 AM,,139,932,9,16,61,23
03/23/2015 07:45:00 PM,,17,813,8,13,62,2
03/23/2015 06:22:00 PM,,159,831,8,15,66,25
03/23/2015 08:15:00 PM,,155,331,3,5,43,19
03/23/2015 05:30:00 PM,,139,834,8,18,70,3
03/23/2015 03:25:00 PM,,75,823,8,15,66,33
03/23/2015 08:00:00 PM,,155,1021,10,24,29,19
03/22/2015 12:00:00 PM,,29,823,8,15,66,33
03/23/2015 08:40:00 PM,,129,1014,10,24,29,11
03/23/2015 02:20:00 PM,,139,832,8,15,66,3
03/23/2015 05:45:00 PM,,159,413,4,8,48,3
03/23/2015 12:30:00 PM,,152,614,6,21,71,2
03/23/2015 07:30:00 PM,,159,533,5,9,54,19
03/23/2015 12:20:00 PM,,19,613,6,21,71,3
03/04/2015 08:00:00 AM,,139,612,6,21,71,9
03/23/2015 07:20:00 PM,,69,1821,18,42,8,8
03/23/2015 08:20:00 PM,,122,324,3,5,43,7
03/23/2015 07:30:00 PM,,19,813,8,13,62,3
03/23/2015 07:40:00 PM,,19,413,4,8,47,3
03/23/2015 07:30:00 PM,,139,414,4,8,46,3
03/23/2015 12:00:00 PM,,19,324,3,5,43,25
03/23/2015 08:25:00 PM,,19,621,6,17,69,3
03/23/2015 02:45:00 PM,,139,523,5,34,53,25
03/23/2015 07:30:00 AM,,129,122,1,2,32,33
03/23/2015 05:30:00 PM,,25,112,1,42,32,2
03/23/2015 03:00:00 AM,,103,822,8,23,62,33
03/23/2015 07:46:00 PM,,155,822,8,14,63,16
03/23/2015 08:00:00 PM,,159,733,7,17,68,34
03/23/2015 07:30:00 AM,,140,823,8,13,65,7
03/23/2015 08:27:00 PM,,159,735,7,17,67,18
03/23/2015 08:02:00 PM,,159,1134,11,24,29,25
03/23/2015 08:00:00 PM,,155,1224,12,27,28,3
03/23/2015 05:15:00 PM,,155,2211,22,19,74,2
03/23/2015 08:33:00 PM,,19,1532,15,37,25,2
03/23/2015 08:20:00 PM,,155,2523,25,31,21,19
03/23/2015 08:37:00 PM,,19,2515,25,30,19,34
03/23/2015 08:37:00 PM,,140,2515,25,30,19,19
03/23/2015 07:53:00 PM,,159,2522,25,37,19,25
03/23/2015 05:41:00 PM,,159,2514,25,30,19,25
03/23/2015 06:46:00 PM,,159,1012,10,24,29,3
03/23/2015 02:00:00 PM,,139,431,4,7,51,25
03/23/2015 09:13:00 PM,,175,1011,10,24,29,25
03/23/2015 08:00:00 AM,,175,1622,16,45,11,33
03/23/2015 01:30:00 PM,,19,612,6,21,71,7
03/21/2015 03:00:00 PM,,139,613,6,21,71,33
03/23/2015 08:57:00 PM,,19,213,2,3,35,2
03/23/2015 06:30:00 PM,,19,631,6,8,44,3
03/21/2015 04:03:00 PM,,19,623,6,17,69,4
03/23/2015 05:00:00 PM,,139,2514,25,31,19,23
03/23/2015 05:30:00 PM,,139,1724,17,33,14,18
03/23/2015 09:50:00 PM,,131,1134,11,24,27,19
03/23/2015 07:50:00 PM,,159,723,7,20,68,19
03/23/2015 09:00:00 PM,,19,823,8,15,66,7
03/23/2015 10:05:00 PM,,159,1122,11,27,23,34
03/23/2015 09:30:00 PM,,19,411,4,8,45,3
03/23/2015 09:15:00 AM,,155,614,6,18,71,19
03/23/2015 07:45:00 PM,,159,1122,11,27,23,19
03/23/2015 07:49:00 PM,,139,2233,22,34,49,34
03/23/2015 09:15:00 PM,,157,631,6,6,44,18
03/23/2015 09:36:00 PM,,155,311,3,20,40,25
03/21/2015 01:27:00 PM,,124,1925,19,46,6,25
03/23/2015 04:20:00 PM,,75,1433,14,1,24,33
03/23/2015 04:00:00 PM,,19,1712,17,39,13,7
03/23/2015 06:18:00 PM,,77,523,5,34,53,3
03/11/2015 08:00:00 AM,,139,2222,22,21,73,9
03/10/2015 05:00:00 PM,,19,1413,14,26,22,23
03/23/2015 10:00:00 PM,,159,1531,15,28,25,19
03/23/2015 10:00:00 PM,,159,825,8,15,66,33
03/23/2015 08:25:00 PM,,36,933,9,16,61,3
03/23/2015 06:30:00 PM,,19,1113,11,28,26,3
03/10/2015 05:00:00 PM,,19,1113,11,28,26,23
03/23/2015 08:11:00 PM,,71,1832,18,42,8,30
03/20/2015 10:30:00 AM,,139,332,3,5,43,2
03/23/2015 08:15:00 PM,,19,1113,11,28,25,2
03/23/2015 10:04:00 PM,,19,2523,25,30,21,2
03/23/2015 07:00:00 PM,,159,1012,10,24,29,3
03/23/2015 09:40:00 AM,,19,1221,12,1,24,25
03/23/2015 06:47:00 PM,,19,1122,11,27,23,3
03/22/2015 09:00:00 PM,,139,1121,11,27,23,33
03/23/2015 11:00:00 PM,,159,431,4,7,51,7
03/23/2015 09:54:00 PM,,159,434,4,10,51,19
03/23/2015 08:30:00 PM,,129,1831,18,42,8,33
03/23/2015 10:50:00 PM,,159,423,4,7,46,19
03/23/2015 08:47:00 PM,,143,1834,18,42,8,8
03/23/2015 08:10:00 PM,,92,1031,10,22,30,33
03/23/2015 09:09:00 PM,,175,934,9,20,61,19
03/23/2015 09:50:00 AM,,159,1822,18,27,8,33
03/23/2015 10:00:00 PM,,17,633,6,9,44,14
03/23/2015 10:50:00 PM,,159,911,9,12,58,19
03/23/2015 11:00:00 PM,,175,724,7,16,68,3
03/23/2015 09:55:00 PM,,19,1124,11,2,27,3
03/23/2015 09:19:00 PM,,159,1114,11,28,26,3
03/23/2015 11:55:00 PM,,159,1115,11,28,26,19
03/23/2015 10:09:00 PM,,159,2422,24,49,1,19
03/24/2015 12:05:00 AM,,155,1532,15,28,25,19
03/23/2015 09:29:00 PM,,159,735,7,17,67,14
03/23/2015 10:12:00 PM,,159,1012,10,24,29,19
03/23/2015 07:37:00 PM,,155,213,2,3,35,3
03/23/2015 10:50:00 PM,,159,312,3,20,69,19
03/23/2015 11:45:00 PM,,105,1033,10,12,30,25
03/24/2015 12:15:00 AM,,129,422,4,7,46,8
03/23/2015 10:44:00 PM,,159,734,7,17,67,19
03/23/2015 10:00:00 PM,,143,1834,18,42,8,33
03/23/2015 09:50:00 PM,,159,1012,10,24,29,19
03/24/2015 12:20:00 AM,,17,823,8,15,66,33
03/23/2015 10:00:00 PM,,159,1424,14,1,24,33
03/23/2015 11:30:00 PM,,19,935,9,11,61,3
03/22/2015 11:00:00 PM,,175,421,4,7,43,30
03/23/2015 09:09:00 PM,,139,512,5,9,49,19
03/23/2015 08:29:00 PM,,139,524,5,34,53,3
03/23/2015 07:00:00 PM,,19,331,3,5,43,4
03/23/2015 09:00:00 PM,,139,726,7,15,67,33
03/19/2015 02:54:00 AM,,153,1212,12,1,24,33
03/23/2015 01:30:00 PM,,139,413,4,8,47,2
03/23/2015 08:45:00 PM,,139,431,4,10,51,33
03/24/2015 12:30:00 AM,,139,833,8,13,65,7
03/22/2015 10:17:00 PM,,124,2514,25,30,19,25
03/24/2015 12:15:00 AM,,59,2411,24,50,2,33
03/23/2015 11:25:00 PM,,159,732,7,6,68,1
03/24/2015 12:26:00 AM,,175,823,8,15,66,7
03/24/2015 12:19:00 AM,,159,1523,15,28,25,19
03/23/2015 10:45:00 PM,,175,2533,25,37,25,8
03/24/2015 12:30:00 AM,,17,1511,15,29,25,3
03/24/2015 01:19:00 AM,,155,1123,11,28,27,30
03/23/2015 11:19:00 PM,,159,1522,15,29,25,2
03/24/2015 01:30:00 AM,,159,1711,17,39,13,7
03/23/2015 11:05:00 PM,,19,1221,12,27,23,8
03/24/2015 12:00:00 AM,,159,1523,15,37,25,33
03/23/2015 11:40:00 PM,,129,2032,20,47,4,30
03/24/2015 12:18:00 AM,,19,623,6,17,44,3
03/24/2015 12:00:00 AM,,155,624,6,6,69,33
03/24/2015 12:17:00 AM,,169,1624,16,45,15,3
03/24/2015 01:55:00 AM,,75,1934,19,44,6,8
03/12/2015 01:00:00 PM,,19,1724,17,33,16,9
03/23/2015 01:39:00 PM,,139,1612,16,41,9,9
03/23/2015 09:50:00 PM,,155,2523,25,31,21,3
03/23/2015 09:00:00 PM,,139,531,5,9,50,33
03/24/2015 02:00:00 AM,,139,1232,12,25,28,4
03/24/2015 12:20:00 AM,,27,1434,14,32,24,33
03/24/2015 01:00:00 AM,,155,2232,22,34,73,19
03/24/2015 12:45:00 AM,,19,313,3,20,42,3
03/24/2015 12:58:00 AM,,139,633,6,8,44,3
03/24/2015 02:20:00 AM,,139,1524,15,37,25,7
03/23/2015 11:45:00 PM,,19,932,9,16,61,3
03/22/2015 12:00:00 PM,,141,223,2,4,38,3
03/24/2015 03:30:00 AM,,159,1712,17,39,14,33
03/24/2015 01:00:00 AM,,19,1222,12,2,27,3
03/24/2015 12:40:00 AM,,19,1021,10,24,29,4
03/24/2015 01:00:00 AM,,19,1034,10,12,30,3
03/24/2015 03:20:00 AM,,19,2424,24,49,1,3
03/23/2015 10:05:00 PM,,159,1122,11,28,27,9
03/20/2015 06:15:00 AM,,124,1932,19,32,7,9
03/24/2015 03:00:00 AM,,143,2413,24,50,2,33
03/23/2015 11:24:00 PM,,163,1833,18,42,8,9
03/23/2015 09:00:00 PM,,19,831,8,15,66,2
03/24/2015 04:25:00 AM,,139,532,5,9,53,7
03/24/2015 04:31:00 AM,,155,1924,19,44,6,19
03/22/2015 11:00:00 PM,,159,2522,25,31,19,7
03/23/2015 06:00:00 PM,,142,1231,12,2,28,7
03/23/2015 11:15:00 PM,,159,513,5,9,49,25
03/22/2015 09:15:00 PM,,155,1232,12,2,28,3
03/23/2015 02:00:00 PM,,159,2212,22,19,72,33
03/23/2015 12:30:00 PM,,139,2433,24,48,77,4
03/24/2015 05:50:00 AM,,159,835,8,18,70,18
03/23/2015 09:00:00 AM,,19,332,3,5,43,7
03/24/2015 05:00:00 AM,,143,1914,19,46,3,3
03/24/2015 07:10:00 AM,,59,111,1,42,32,3
03/12/2015 01:00:00 PM,,159,332,3,5,43,33
03/19/2015 07:00:00 PM,,159,2223,22,21,73,25
03/23/2015 07:00:00 AM,,139,331,3,5,43,25
03/23/2015 05:01:00 PM,,156,2532,25,37,25,33
03/23/2015 06:00:00 PM,,159,1532,15,28,25,7
03/08/2015 10:00:00 PM,,139,2213,22,19,72,23
03/24/2015 06:35:00 AM,,159,613,6,21,71,33
03/14/2015 05:00:00 PM,,19,1133,11,24,26,7
03/23/2015 09:00:00 PM,,159,621,6,17,71,33
01/27/2015 10:00:00 AM,,139,124,1,2,28,9
03/24/2015 07:00:00 AM,,159,511,5,9,49,33
03/16/2015 09:00:00 AM,,124,211,2,4,35,18
03/24/2015 02:44:00 AM,,124,122,1,2,32,7
03/23/2015 10:30:00 PM,,159,914,9,11,60,18
03/24/2015 03:00:00 AM,,159,1622,16,45,11,33
03/24/2015 06:30:00 AM,,71,925,9,3,37,33
03/23/2015 06:00:00 PM,,159,212,2,4,36,7
03/24/2015 07:45:00 AM,,159,915,9,11,60,2
03/24/2015 08:15:00 AM,,92,225,2,3,40,9
03/19/2015 10:55:00 AM,,152,2515,25,37,19,3
03/22/2015 05:00:00 PM,,19,631,6,8,44,4
03/23/2015 11:30:00 AM,,152,235,2,5,41,33
02/06/2015 09:45:00 AM,,29,1123,11,28,27,25
03/24/2015 07:00:00 AM,,139,715,7,15,67,25
03/23/2015 08:00:00 PM,,159,1624,16,38,15,7
03/24/2015 04:35:00 AM,,65,1432,14,32,22,30
03/18/2015 09:00:00 AM,,67,1654,16,41,76,8
03/24/2015 07:50:00 AM,,122,2012,20,40,4,3
03/23/2015 08:30:00 AM,,19,632,6,6,44,33
03/16/2015 12:00:00 PM,,139,831,8,15,66,2
03/15/2015 03:00:00 PM,,140,1214,12,42,28,33
03/24/2015 08:30:00 AM,,139,812,8,13,64,4
03/23/2015 07:00:00 PM,,159,2233,22,34,49,33
03/21/2015 07:30:00 PM,,124,111,1,42,32,7
03/22/2015 03:30:00 PM,,129,122,1,2,32,7
03/24/2015 07:50:00 AM,,5,813,8,23,56,34
03/24/2015 12:01:00 AM,,142,2211,22,19,74,33
03/24/2015 12:01:00 AM,,19,835,8,18,70,7
03/22/2015 10:30:00 PM,,159,2221,22,21,71,7
03/24/2015 06:00:00 AM,,19,1225,12,2,28,3
03/23/2015 07:00:00 PM,,129,823,8,15,66,33
03/24/2015 07:00:00 AM,,19,1122,11,27,23,7
03/23/2015 04:00:00 PM,,155,423,4,10,46,33
03/23/2015 08:00:00 PM,,159,1925,19,46,6,7
03/23/2015 08:15:00 PM,,156,1422,14,26,23,7
03/23/2015 10:00:00 PM,,49,624,6,6,69,33
03/24/2015 06:00:00 AM,,124,2212,22,19,72,33
03/19/2015 01:30:00 PM,,10,813,8,23,56,33
02/11/2015 12:00:00 PM,,168,524,5,34,53,33
03/24/2015 08:15:00 AM,,159,2221,22,21,71,7
01/29/2015 09:15:00 AM,,155,1821,18,27,8,19
02/02/2015 08:00:00 AM,,124,1214,12,27,24,33
03/22/2015 04:01:00 PM,,57,1113,11,28,26,4
03/24/2015 09:20:00 AM,,155,1011,10,24,29,2
03/23/2015 04:45:00 PM,,139,1422,14,26,23,7
03/24/2015 09:06:00 AM,,92,424,4,10,46,33
03/15/2015 03:00:00 AM,,27,1831,18,42,8,33
03/24/2015 04:00:00 AM,,19,2422,24,49,1,33
03/24/2015 09:56:00 AM,,159,222,2,4,39,9
03/23/2015 09:00:00 AM,,124,2011,20,40,4,9
03/24/2015 10:05:00 AM,,155,1115,11,28,26,19
03/23/2015 08:00:00 PM,,19,1112,11,27,23,9
03/23/2015 09:45:00 PM,,122,2411,24,50,2,33
03/24/2015 10:30:00 AM,,124,122,1,2,32,25
03/24/2015 07:45:00 AM,,139,513,5,34,49,3
03/24/2015 09:30:00 AM,,139,531,5,9,49,2
03/18/2015 02:00:00 PM,,139,1612,16,41,10,33
03/24/2015 10:05:00 AM,,175,312,3,20,69,33
02/28/2015 12:01:00 AM,,124,2024,20,48,3,6
03/24/2015 09:30:00 AM,,19,1421,14,35,23,23
03/22/2015 05:00:00 PM,,159,1422,14,26,23,33
03/16/2015 12:00:00 PM,,19,1414,14,26,22,9
03/23/2015 08:00:00 AM,,139,731,7,6,68,23
03/24/2015 09:36:00 AM,,139,711,7,20,68,2
03/24/2015 10:00:00 AM,,129,1413,14,26,22,33
03/24/2015 10:45:00 AM,,139,712,7,16,68,2
03/17/2015 10:00:00 PM,,139,222,2,4,39,2
03/24/2015 06:05:00 AM,,159,725,7,15,67,18
03/24/2015 10:45:00 AM,,155,421,4,7,43,19
03/24/2015 07:54:00 AM,,159,623,6,17,69,14
03/24/2015 08:45:00 AM,,152,1124,11,28,27,34
03/23/2015 10:00:00 AM,,139,1925,19,46,6,25
03/22/2015 09:00:00 PM,,159,211,2,2,35,33
02/08/2015 06:20:00 PM,,175,1134,11,24,27,19
03/24/2015 10:45:00 AM,,156,1113,11,28,26,7
03/24/2015 10:40:00 AM,,159,1532,15,37,25,19
02/05/2015 07:44:56 PM,,139,712,7,16,68,19
03/24/2015 09:30:00 AM,,124,1913,19,46,3,28
03/24/2015 11:05:00 AM,,155,1533,15,28,25,19
03/22/2015 01:00:00 PM,,139,1722,17,45,16,3
03/23/2015 09:15:00 PM,,156,1923,19,46,6,4
03/23/2015 02:00:00 PM,,169,2024,20,48,3,33
03/23/2015 05:00:00 PM,,159,2024,20,48,3,7
03/23/2015 06:00:00 PM,,140,1212,12,1,24,4
01/07/2015 12:00:00 PM,,19,1824,18,42,8,33
02/06/2015 01:17:46 PM,,19,922,9,12,58,19
03/24/2015 01:00:00 AM,,17,1023,10,28,30,18
03/24/2015 09:51:00 AM,,152,1723,17,33,14,28
03/22/2015 07:00:00 PM,,140,915,9,11,60,7
03/23/2015 11:00:00 AM,,159,1421,14,1,24,33
03/23/2015 12:00:00 PM,,19,1524,15,37,25,3
03/19/2015 07:00:00 PM,,139,2233,22,34,75,2
02/19/2015 09:00:00 PM,,139,1512,15,29,25,9
03/24/2015 08:00:00 AM,,139,1511,15,29,25,7
03/24/2015 10:00:00 AM,,139,332,3,5,43,33
03/20/2015 03:00:00 PM,,139,1023,10,28,30,33
02/06/2015 02:30:00 PM,,141,1133,11,24,27,19
03/18/2015 08:00:00 PM,,124,423,4,7,46,33
03/19/2015 09:00:00 AM,,142,422,4,7,46,33
03/24/2015 10:00:00 AM,,139,823,8,15,66,3
03/24/2015 10:45:00 AM,,155,731,7,6,69,19
03/24/2015 02:00:00 AM,,159,421,4,7,43,33
03/24/2015 10:00:00 AM,,152,133,1,2,35,2
03/24/2015 11:10:00 AM,,124,1213,12,27,24,9
02/06/2015 02:20:00 PM,,155,1115,11,28,26,19
03/24/2015 09:55:00 AM,,152,813,8,13,62,3
03/23/2015 04:30:00 PM,,129,122,1,2,32,33
03/13/2015 11:15:00 AM,,15,1654,16,41,76,9
03/24/2015 04:05:00 AM,,49,411,4,5,43,25
03/23/2015 01:00:00 AM,,129,1722,17,39,14,33
02/22/2015 10:00:00 AM,,124,1831,18,42,8,33
03/20/2015 02:00:00 PM,,139,2212,22,19,72,7
03/23/2015 06:30:00 PM,,124,1723,17,39,16,7
03/23/2015 12:50:00 PM,,,1524,15,37,25,9
03/22/2015 09:30:00 PM,,142,1912,19,47,6,33
03/23/2015 05:25:00 PM,,,1524,15,37,25,9
03/18/2015 10:50:00 AM,,75,632,6,6,44,33
03/23/2015 05:00:00 PM,,,1524,15,37,25,9
03/23/2015 06:00:00 AM,,159,2521,25,31,19,33
03/24/2015 07:50:00 AM,,,1533,15,28,25,9
03/24/2015 11:19:00 AM,,155,1115,11,28,26,19
03/24/2015 09:15:00 AM,,152,1014,10,24,29,3
03/24/2015 09:00:00 AM,,139,1132,11,24,26,9
03/22/2015 09:00:00 AM,,139,2211,22,19,74,9
03/24/2015 11:00:00 AM,,19,911,9,14,58,25
03/24/2015 08:30:00 AM,,159,531,5,9,50,33
03/19/2015 03:10:00 PM,,152,511,5,6,49,3
03/24/2015 11:57:00 AM,,159,1115,11,28,26,19
03/24/2015 10:00:00 AM,,152,511,5,21,49,3
03/17/2015 02:00:00 PM,,159,513,5,9,49,33
03/24/2015 09:45:00 AM,,19,532,5,9,53,7
03/24/2015 01:10:00 AM,,159,524,5,34,53,7
03/09/2015 12:01:00 AM,,124,314,3,20,42,9
03/20/2015 12:00:00 PM,,152,1724,17,33,16,3
01/11/2015 03:30:00 PM,,19,1414,14,35,22,23
03/24/2015 11:10:00 AM,,159,1134,11,28,27,19
01/24/2015 09:25:00 PM,,27,1923,19,44,6,33
03/23/2015 10:00:00 PM,,141,2411,24,49,2,7
03/24/2015 10:55:00 AM,,92,925,9,3,37,18
09/25/2008 12:56:00 AM,,93,911,9,14,63,12
03/24/2015 11:00:00 AM,,159,333,3,7,43,33
03/24/2015 01:00:00 AM,,159,2412,24,50,2,7
03/24/2015 11:45:00 AM,,78,2433,24,48,77,33
03/23/2015 08:00:00 PM,,139,331,3,5,43,33
03/24/2015 11:28:00 AM,,124,121,1,42,28,9
03/24/2015 10:00:00 AM,,124,122,1,42,32,28
03/24/2015 11:00:00 AM,,152,2513,25,29,25,19
03/24/2015 10:00:00 AM,,152,1513,15,29,25,19
03/23/2015 04:00:00 PM,,155,2531,25,29,25,2
03/12/2015 10:00:00 AM,,143,234,2,4,41,33
03/24/2015 11:43:00 AM,,155,322,3,6,69,19
03/24/2015 11:00:00 AM,,152,533,5,9,54,28
03/24/2015 12:15:00 PM,,155,2233,22,34,49,3
03/24/2015 11:27:00 AM,,159,1134,11,24,27,3
03/22/2015 08:30:00 PM,,159,1422,14,35,22,33
03/23/2015 06:00:00 PM,,19,1014,10,24,29,25
03/23/2015 07:00:00 PM,,159,1122,11,28,26,33
03/23/2015 09:40:00 PM,,19,1532,15,37,25,2
03/24/2015 11:38:00 AM,,152,824,8,16,63,3
03/24/2015 08:00:00 AM,,159,1631,16,36,17,33
03/24/2015 12:24:00 PM,,129,1913,19,46,3,3
03/23/2015 09:00:00 AM,,159,1624,16,38,15,33
03/24/2015 12:30:00 PM,,155,1223,12,2,28,25
03/24/2015 12:10:00 PM,,159,411,4,5,43,19
03/24/2015 12:10:00 PM,,143,1134,11,24,29,2
03/24/2015 11:41:00 AM,,159,2221,22,21,73,2
03/24/2015 01:05:00 PM,,159,1122,11,27,23,19
02/06/2015 12:51:00 PM,,17,1121,11,27,23,19
03/24/2015 06:00:00 AM,,139,324,3,5,69,3
03/24/2015 08:11:00 AM,,168,1511,15,29,25,1
03/24/2015 08:50:00 AM,,152,433,4,10,52,2
03/24/2015 12:30:00 PM,,124,1912,19,47,3,9
03/23/2015 07:45:00 PM,,124,2512,25,36,19,33
02/06/2015 10:59:53 AM,,139,934,9,16,61,19
03/24/2015 11:20:00 AM,,159,1532,15,28,25,19
03/23/2015 05:00:00 PM,,139,726,7,15,67,23
03/24/2015 12:19:00 PM,,129,124,1,2,28,28
03/24/2015 12:50:00 PM,,159,1021,10,24,29,19
02/05/2015 12:01:07 PM,,143,624,6,6,69,19
03/24/2015 12:54:00 PM,,143,822,8,23,62,9
03/24/2015 07:45:00 AM,,124,1912,19,47,3,33
02/11/2015 02:00:00 PM,,159,1211,12,26,24,8
03/24/2015 01:00:00 PM,,92,2222,22,21,71,33
03/23/2015 11:00:00 PM,,159,2011,20,40,4,33
03/13/2015 12:00:00 PM,,156,1834,18,42,8,9
03/21/2015 03:00:00 PM,,92,2535,25,27,23,33
03/24/2015 11:18:00 AM,,129,711,7,16,68,28
03/23/2015 06:30:00 PM,,124,1422,14,26,22,33
03/24/2015 11:28:00 AM,,155,732,7,17,68,19
01/30/2015 06:46:01 PM,,19,731,7,6,69,19
03/21/2015 05:00:00 AM,,159,1623,16,45,15,18
03/24/2015 08:00:00 AM,,19,933,9,16,61,33
03/23/2015 08:00:00 AM,,124,132,1,2,33,33
03/23/2015 06:00:00 AM,,19,623,6,17,69,4
03/24/2015 11:00:00 AM,,19,925,9,11,61,4
03/24/2015 01:00:00 PM,,155,1533,15,28,25,34
02/06/2015 06:20:00 PM,,155,1115,11,28,26,19
03/24/2015 03:00:00 AM,,139,1123,11,28,27,3
03/24/2015 01:26:00 PM,,19,1713,17,33,14,3
03/24/2015 08:40:00 AM,,19,421,4,7,43,3
03/24/2015 12:00:00 PM,,155,422,4,7,46,2
03/24/2015 12:29:00 PM,,156,1833,18,42,8,33
03/24/2015 11:18:00 AM,,19,421,4,7,43,2
03/24/2015 12:45:00 PM,,156,612,6,17,71,33
03/24/2015 01:30:00 PM,,19,2431,24,49,1,3
03/24/2015 12:00:00 PM,,152,1232,12,2,28,2
03/22/2015 06:00:00 PM,,155,222,2,4,39,33
03/23/2015 09:30:00 PM,,124,1713,17,39,14,7
03/24/2015 11:27:00 AM,,152,1612,16,41,10,2
02/06/2015 07:05:00 PM,,175,731,7,6,69,19
03/24/2015 11:53:00 AM,,19,711,7,3,68,7
03/22/2015 08:00:00 PM,,139,824,8,16,66,7
03/10/2015 08:00:00 AM,,159,1235,12,25,31,33
03/23/2015 02:00:00 PM,,152,332,3,5,43,3
03/08/2015 09:00:00 AM,,19,631,6,6,44,9
03/23/2015 09:00:00 AM,,19,334,3,7,43,4
03/24/2015 03:00:00 AM,,159,1732,17,35,16,18
03/22/2015 09:30:00 AM,,19,312,3,20,69,31
03/23/2015 04:00:00 PM,,19,931,9,20,61,33
03/24/2015 11:00:00 AM,,155,914,9,25,34,33
03/21/2015 12:00:00 PM,,139,224,2,3,38,9
03/17/2015 05:00:00 PM,,159,323,3,6,69,33
03/23/2015 03:59:00 PM,,124,532,5,9,53,25
03/24/2015 02:30:00 PM,,92,1533,15,28,25,19
03/22/2015 01:00:00 PM,,155,1115,11,28,26,30
03/24/2015 10:30:00 AM,,96,624,6,6,44,25
03/24/2015 02:40:00 PM,,155,1913,19,46,3,19
03/24/2015 11:00:00 AM,,139,1024,10,12,30,3
03/22/2015 10:30:00 AM,,142,2512,25,29,19,2
02/25/2015 09:00:00 AM,,152,533,5,9,54,33
03/24/2015 12:46:00 PM,,139,914,9,25,34,4
03/24/2015 12:44:00 PM,,155,323,3,6,69,25
03/24/2015 01:00:00 PM,,152,222,2,4,39,19
03/24/2015 12:45:00 PM,,142,1114,11,28,26,19
03/24/2015 08:15:00 AM,,139,814,8,23,56,4
03/16/2015 09:00:00 AM,,139,1225,12,25,28,9
03/24/2015 01:25:00 PM,,159,1033,10,12,30,19
03/24/2015 01:47:00 PM,,152,712,7,16,68,3
03/22/2015 04:44:00 PM,,75,2533,25,37,25,33
03/24/2015 11:10:00 AM,,156,2535,25,26,22,30
03/24/2015 12:30:00 PM,,152,1532,15,28,25,2
03/24/2015 12:30:00 PM,,152,1531,15,37,25,3
03/24/2015 12:00:00 PM,,139,1524,15,37,25,3
03/24/2015 11:40:00 AM,,159,1524,15,37,25,18
03/23/2015 06:32:00 PM,,19,711,7,16,68,3
03/24/2015 11:00:00 AM,,159,1623,16,45,15,18
03/24/2015 12:45:00 PM,,17,1524,15,37,25,2
03/24/2015 02:55:00 PM,,77,112,1,42,32,33
03/24/2015 02:30:00 PM,,140,1712,17,39,14,7
03/13/2015 12:00:00 PM,,159,2423,24,49,1,32
03/24/2015 02:45:00 PM,,159,722,7,6,69,7
03/23/2015 05:00:00 PM,,168,1131,11,24,26,33
03/23/2015 11:00:00 PM,,159,732,7,6,68,18
03/23/2015 07:30:00 AM,,159,1732,17,35,21,33
03/24/2015 03:19:00 PM,,92,2233,22,34,49,33
03/21/2015 03:00:00 PM,,57,122,1,2,32,7
03/24/2015 01:27:00 PM,,19,312,3,20,42,4
03/03/2015 12:00:00 PM,,129,1724,17,33,14,18
03/21/2015 10:30:00 AM,,152,2211,22,19,74,33
03/23/2015 10:00:00 PM,,139,2534,25,37,23,25
03/23/2015 03:00:00 PM,,159,1733,17,33,21,7
03/24/2015 01:28:00 PM,,159,1121,11,27,23,19
03/24/2015 01:52:00 AM,,143,1831,18,42,8,4
03/24/2015 03:00:00 PM,,155,1235,12,25,31,19
03/24/2015 03:00:00 PM,,155,2032,20,47,4,19
03/23/2015 08:00:00 AM,,159,1424,14,1,24,33
03/23/2015 08:00:00 AM,,124,823,8,15,66,9
