Time,LocationDescription,Beat,District,Ward,CommunityArea,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,PrimaryType
9.1,92,424,4,10,46,0,0,0,0,0,1,0,33
3,27,1831,18,42,8,0,0,0,1,0,0,0,33
4,19,2422,24,49,1,0,0,0,0,0,1,0,33
9.93,159,222,2,4,39,0,0,0,0,0,1,0,9
9,124,2011,20,40,4,0,1,0,0,0,0,0,9
10.08,155,1115,11,28,26,0,0,0,0,0,1,0,19
20,19,1112,11,27,23,0,1,0,0,0,0,0,9
21.75,122,2411,24,50,2,0,1,0,0,0,0,0,33
10.5,124,122,1,2,32,0,0,0,0,0,1,0,25
7.75,139,513,5,34,49,0,0,0,0,0,1,0,3
9.5,139,531,5,9,49,0,0,0,0,0,1,0,2
14,139,1612,16,41,10,0,0,0,0,0,0,1,33
10.08,175,312,3,20,69,0,0,0,0,0,1,0,33
0.02,124,2024,20,48,3,0,0,1,0,0,0,0,6
9.5,19,1421,14,35,23,0,0,0,0,0,1,0,23
17,159,1422,14,26,23,0,0,0,1,0,0,0,33
12,19,1414,14,26,22,0,1,0,0,0,0,0,9
8,139,731,7,6,68,0,1,0,0,0,0,0,23
9.6,139,711,7,20,68,0,0,0,0,0,1,0,2
10,129,1413,14,26,22,0,0,0,0,0,1,0,33
10.75,139,712,7,16,68,0,0,0,0,0,1,0,2
22,139,222,2,4,39,0,0,0,0,0,1,0,2
6.08,159,725,7,15,67,0,0,0,0,0,1,0,18
10.75,155,421,4,7,43,0,0,0,0,0,1,0,19
7.9,159,623,6,17,69,0,0,0,0,0,1,0,14
8.75,152,1124,11,28,27,0,0,0,0,0,1,0,34
10,139,1925,19,46,6,0,1,0,0,0,0,0,25
21,159,211,2,2,35,0,0,0,1,0,0,0,33
18.33,175,1134,11,24,27,0,0,0,1,0,0,0,19
10.75,156,1113,11,28,26,0,0,0,0,0,1,0,7
10.67,159,1532,15,37,25,0,0,0,0,0,1,0,19
19.73,139,712,7,16,68,0,0,0,0,1,0,0,19
9.5,124,1913,19,46,3,0,0,0,0,0,1,0,28
11.08,155,1533,15,28,25,0,0,0,0,0,1,0,19
13,139,1722,17,45,16,0,0,0,1,0,0,0,3
21.25,156,1923,19,46,6,0,1,0,0,0,0,0,4
14,169,2024,20,48,3,0,1,0,0,0,0,0,33
17,159,2024,20,48,3,0,1,0,0,0,0,0,7
18,140,1212,12,1,24,0,1,0,0,0,0,0,4
12,19,1824,18,42,8,0,0,0,0,0,0,1,33
13.28,19,922,9,12,58,1,0,0,0,0,0,0,19
1,17,1023,10,28,30,0,0,0,0,0,1,0,18
9.85,152,1723,17,33,14,0,0,0,0,0,1,0,28
19,140,915,9,11,60,0,0,0,1,0,0,0,7
11,159,1421,14,1,24,0,1,0,0,0,0,0,33
12,19,1524,15,37,25,0,1,0,0,0,0,0,3
19,139,2233,22,34,75,0,0,0,0,1,0,0,2
21,139,1512,15,29,25,0,0,0,0,1,0,0,9
8,139,1511,15,29,25,0,0,0,0,0,1,0,7
10,139,332,3,5,43,0,0,0,0,0,1,0,33
15,139,1023,10,28,30,1,0,0,0,0,0,0,33
14.5,141,1133,11,24,27,1,0,0,0,0,0,0,19
20,124,423,4,7,46,0,0,0,0,0,0,1,33
9,142,422,4,7,46,0,0,0,0,1,0,0,33
10,139,823,8,15,66,0,0,0,0,0,1,0,3
10.75,155,731,7,6,69,0,0,0,0,0,1,0,19
2,159,421,4,7,43,0,0,0,0,0,1,0,33
10,152,133,1,2,35,0,0,0,0,0,1,0,2
11.17,124,1213,12,27,24,0,0,0,0,0,1,0,9
14.33,155,1115,11,28,26,1,0,0,0,0,0,0,19
9.92,152,813,8,13,62,0,0,0,0,0,1,0,3
16.5,129,122,1,2,32,0,1,0,0,0,0,0,33
11.25,15,1654,16,41,76,1,0,0,0,0,0,0,9
4.08,49,411,4,5,43,0,0,0,0,0,1,0,25
1,129,1722,17,39,14,0,1,0,0,0,0,0,33
10,124,1831,18,42,8,0,0,0,1,0,0,0,33
14,139,2212,22,19,72,1,0,0,0,0,0,0,7
18.5,124,1723,17,39,16,0,1,0,0,0,0,0,7
12.83,0,1524,15,37,25,0,1,0,0,0,0,0,9
21.5,142,1912,19,47,6,0,0,0,1,0,0,0,33
17.42,0,1524,15,37,25,0,1,0,0,0,0,0,9
10.83,75,632,6,6,44,0,0,0,0,0,0,1,33
17,0,1524,15,37,25,0,1,0,0,0,0,0,9
6,159,2521,25,31,19,0,1,0,0,0,0,0,33
7.83,0,1533,15,28,25,0,0,0,0,0,1,0,9
11.32,155,1115,11,28,26,0,0,0,0,0,1,0,19
9.25,152,1014,10,24,29,0,0,0,0,0,1,0,3
9,139,1132,11,24,26,0,0,0,0,0,1,0,9
9,139,2211,22,19,74,0,0,0,1,0,0,0,9
11,19,911,9,14,58,0,0,0,0,0,1,0,25
8.5,159,531,5,9,50,0,0,0,0,0,1,0,33
15.17,152,511,5,6,49,0,0,0,0,1,0,0,3
11.95,159,1115,11,28,26,0,0,0,0,0,1,0,19
10,152,511,5,21,49,0,0,0,0,0,1,0,3
14,159,513,5,9,49,0,0,0,0,0,1,0,33
9.75,19,532,5,9,53,0,0,0,0,0,1,0,7
1.17,159,524,5,34,53,0,0,0,0,0,1,0,7
0.02,124,314,3,20,42,0,1,0,0,0,0,0,9
12,152,1724,17,33,16,1,0,0,0,0,0,0,3
15.5,19,1414,14,35,22,0,0,0,1,0,0,0,23
11.17,159,1134,11,28,27,0,0,0,0,0,1,0,19
21.42,27,1923,19,44,6,0,0,1,0,0,0,0,33
22,141,2411,24,49,2,0,1,0,0,0,0,0,7
10.92,92,925,9,3,37,0,0,0,0,0,1,0,18
0.93,93,911,9,14,63,0,0,0,0,1,0,0,12
11,159,333,3,7,43,0,0,0,0,0,1,0,33
1,159,2412,24,50,2,0,0,0,0,0,1,0,7
11.75,78,2433,24,48,77,0,0,0,0,0,1,0,33
20,139,331,3,5,43,0,1,0,0,0,0,0,33
11.47,124,121,1,42,28,0,0,0,0,0,1,0,9
10,124,122,1,42,32,0,0,0,0,0,1,0,28
11,152,2513,25,29,25,0,0,0,0,0,1,0,19
10,152,1513,15,29,25,0,0,0,0,0,1,0,19
16,155,2531,25,29,25,0,1,0,0,0,0,0,2
10,143,234,2,4,41,0,0,0,0,1,0,0,33
11.72,155,322,3,6,69,0,0,0,0,0,1,0,19
11,152,533,5,9,54,0,0,0,0,0,1,0,28
12.25,155,2233,22,34,49,0,0,0,0,0,1,0,3
11.45,159,1134,11,24,27,0,0,0,0,0,1,0,3
20.5,159,1422,14,35,22,0,0,0,1,0,0,0,33
18,19,1014,10,24,29,0,1,0,0,0,0,0,25
19,159,1122,11,28,26,0,1,0,0,0,0,0,33
21.67,19,1532,15,37,25,0,1,0,0,0,0,0,2
11.63,152,824,8,16,63,0,0,0,0,0,1,0,3
8,159,1631,16,36,17,0,0,0,0,0,1,0,33
12.4,129,1913,19,46,3,0,0,0,0,0,1,0,3
9,159,1624,16,38,15,0,1,0,0,0,0,0,33
12.5,155,1223,12,2,28,0,0,0,0,0,1,0,25
12.17,159,411,4,5,43,0,0,0,0,0,1,0,19
12.17,143,1134,11,24,29,0,0,0,0,0,1,0,2
11.68,159,2221,22,21,73,0,0,0,0,0,1,0,2
13.08,159,1122,11,27,23,0,0,0,0,0,1,0,19
12.85,17,1121,11,27,23,1,0,0,0,0,0,0,19
6,139,324,3,5,69,0,0,0,0,0,1,0,3
8.18,168,1511,15,29,25,0,0,0,0,0,1,0,1
8.83,152,433,4,10,52,0,0,0,0,0,1,0,2
12.5,124,1912,19,47,3,0,0,0,0,0,1,0,9
19.75,124,2512,25,36,19,0,1,0,0,0,0,0,33
10.98,139,934,9,16,61,1,0,0,0,0,0,0,19
11.33,159,1532,15,28,25,0,0,0,0,0,1,0,19
17,139,726,7,15,67,0,1,0,0,0,0,0,23
12.32,129,124,1,2,28,0,0,0,0,0,1,0,28
12.83,159,1021,10,24,29,0,0,0,0,0,1,0,19
12.02,143,624,6,6,69,0,0,0,0,1,0,0,19
12.9,143,822,8,23,62,0,0,0,0,0,1,0,9
7.75,124,1912,19,47,3,0,0,0,0,0,1,0,33
14,159,1211,12,26,24,0,0,0,0,0,0,1,8
13,92,2222,22,21,71,0,0,0,0,0,1,0,33
23,159,2011,20,40,4,0,1,0,0,0,0,0,33
12,156,1834,18,42,8,1,0,0,0,0,0,0,9
15,92,2535,25,27,23,0,0,1,0,0,0,0,33
11.3,129,711,7,16,68,0,0,0,0,0,1,0,28
18.5,124,1422,14,26,22,0,1,0,0,0,0,0,33
11.47,155,732,7,17,68,0,0,0,0,0,1,0,19
18.77,19,731,7,6,69,1,0,0,0,0,0,0,19
5,159,1623,16,45,15,0,0,1,0,0,0,0,18
8,19,933,9,16,61,0,0,0,0,0,1,0,33
8,124,132,1,2,33,0,1,0,0,0,0,0,33
6,19,623,6,17,69,0,1,0,0,0,0,0,4
11,19,925,9,11,61,0,0,0,0,0,1,0,4
13,155,1533,15,28,25,0,0,0,0,0,1,0,34
18.33,155,1115,11,28,26,1,0,0,0,0,0,0,19
3,139,1123,11,28,27,0,0,0,0,0,1,0,3
13.43,19,1713,17,33,14,0,0,0,0,0,1,0,3
8.67,19,421,4,7,43,0,0,0,0,0,1,0,3
12,155,422,4,7,46,0,0,0,0,0,1,0,2
12.48,156,1833,18,42,8,0,0,0,0,0,1,0,33
11.3,19,421,4,7,43,0,0,0,0,0,1,0,2
12.75,156,612,6,17,71,0,0,0,0,0,1,0,33
13.5,19,2431,24,49,1,0,0,0,0,0,1,0,3
12,152,1232,12,2,28,0,0,0,0,0,1,0,2
18,155,222,2,4,39,0,0,0,1,0,0,0,33
21.5,124,1713,17,39,14,0,1,0,0,0,0,0,7
11.45,152,1612,16,41,10,0,0,0,0,0,1,0,2
19.08,175,731,7,6,69,1,0,0,0,0,0,0,19
11.88,19,711,7,3,68,0,0,0,0,0,1,0,7
20,139,824,8,16,66,0,0,0,1,0,0,0,7
8,159,1235,12,25,31,0,0,0,0,0,1,0,33
14,152,332,3,5,43,0,1,0,0,0,0,0,3
9,19,631,6,6,44,0,0,0,1,0,0,0,9
9,19,334,3,7,43,0,1,0,0,0,0,0,4
3,159,1732,17,35,16,0,0,0,0,0,1,0,18
9.5,19,312,3,20,69,0,0,0,1,0,0,0,31
16,19,931,9,20,61,0,1,0,0,0,0,0,33
11,155,914,9,25,34,0,0,0,0,0,1,0,33
12,139,224,2,3,38,0,0,1,0,0,0,0,9
17,159,323,3,6,69,0,0,0,0,0,1,0,33
15.98,124,532,5,9,53,0,1,0,0,0,0,0,25
14.5,92,1533,15,28,25,0,0,0,0,0,1,0,19
13,155,1115,11,28,26,0,0,0,1,0,0,0,30
10.5,96,624,6,6,44,0,0,0,0,0,1,0,25
14.67,155,1913,19,46,3,0,0,0,0,0,1,0,19
11,139,1024,10,12,30,0,0,0,0,0,1,0,3
10.5,142,2512,25,29,19,0,0,0,1,0,0,0,2
9,152,533,5,9,54,0,0,0,0,0,0,1,33
12.77,139,914,9,25,34,0,0,0,0,0,1,0,4
12.73,155,323,3,6,69,0,0,0,0,0,1,0,25
13,152,222,2,4,39,0,0,0,0,0,1,0,19
12.75,142,1114,11,28,26,0,0,0,0,0,1,0,19
8.25,139,814,8,23,56,0,0,0,0,0,1,0,4
9,139,1225,12,25,28,0,1,0,0,0,0,0,9
13.42,159,1033,10,12,30,0,0,0,0,0,1,0,19
13.78,152,712,7,16,68,0,0,0,0,0,1,0,3
16.73,75,2533,25,37,25,0,0,0,1,0,0,0,33
11.17,156,2535,25,26,22,0,0,0,0,0,1,0,30
12.5,152,1532,15,28,25,0,0,0,0,0,1,0,2
12.5,152,1531,15,37,25,0,0,0,0,0,1,0,3
12,139,1524,15,37,25,0,0,0,0,0,1,0,3
11.67,159,1524,15,37,25,0,0,0,0,0,1,0,18
18.53,19,711,7,16,68,0,1,0,0,0,0,0,3
11,159,1623,16,45,15,0,0,0,0,0,1,0,18
12.75,17,1524,15,37,25,0,0,0,0,0,1,0,2
14.92,77,112,1,42,32,0,0,0,0,0,1,0,33
14.5,140,1712,17,39,14,0,0,0,0,0,1,0,7
12,159,2423,24,49,1,1,0,0,0,0,0,0,32
14.75,159,722,7,6,69,0,0,0,0,0,1,0,7
17,168,1131,11,24,26,0,1,0,0,0,0,0,33
23,159,732,7,6,68,0,1,0,0,0,0,0,18
7.5,159,1732,17,35,21,0,1,0,0,0,0,0,33
15.32,92,2233,22,34,49,0,0,0,0,0,1,0,33
15,57,122,1,2,32,0,0,1,0,0,0,0,7
13.45,19,312,3,20,42,0,0,0,0,0,1,0,4
12,129,1724,17,33,14,0,0,0,0,0,1,0,18
10.5,152,2211,22,19,74,0,0,1,0,0,0,0,33
22,139,2534,25,37,23,0,1,0,0,0,0,0,25
15,159,1733,17,33,21,0,1,0,0,0,0,0,7
13.47,159,1121,11,27,23,0,0,0,0,0,1,0,19
1.87,143,1831,18,42,8,0,0,0,0,0,1,0,4
15,155,1235,12,25,31,0,0,0,0,0,1,0,19
15,155,2032,20,47,4,0,0,0,0,0,1,0,19
8,159,1424,14,1,24,0,1,0,0,0,0,0,33
8,124,823,8,15,66,0,1,0,0,0,0,0,9
14,59,712,7,16,68,0,0,0,0,0,1,0,30
18,19,931,9,20,61,0,1,0,0,0,0,0,33
15.17,155,834,8,13,70,0,0,0,0,0,1,0,25
15,159,932,9,16,61,0,0,0,0,0,1,0,25
13.33,152,532,5,9,53,0,1,0,0,0,0,0,3
13.5,17,1414,14,35,22,0,0,0,0,0,1,0,33
14,124,113,1,42,32,0,0,0,0,0,1,0,33
19,156,1633,16,38,15,0,1,0,0,0,0,0,33
6,159,2512,25,29,19,0,0,0,0,0,1,0,18
13.12,75,123,1,2,32,0,0,0,0,0,1,0,33
14.57,159,1012,10,24,29,0,0,0,0,0,1,0,19
15.67,96,2024,20,48,3,0,0,0,0,0,1,0,33
15.67,17,934,9,16,61,0,0,0,0,0,1,0,19
18.88,139,934,9,20,61,0,0,0,1,0,0,0,25
15.5,155,2515,25,37,19,0,0,0,0,0,1,0,3
12.3,152,821,8,14,57,0,0,0,0,0,1,0,33
4.75,159,1224,12,27,28,0,0,0,0,0,1,0,33
15.25,143,1935,19,43,7,0,0,0,0,0,1,0,33
14,140,222,2,4,39,0,0,0,0,0,1,0,33
7,140,1723,17,33,14,0,0,0,0,0,1,0,7
12,159,2522,25,31,19,0,0,0,1,0,0,0,33
12,139,2512,25,29,19,0,0,1,0,0,0,0,4
19.5,124,924,9,12,61,0,1,0,0,0,0,0,33
15.75,19,931,9,20,61,0,0,0,0,0,1,0,33
16.25,19,624,6,6,69,0,0,0,0,0,1,0,25
18,143,1411,14,35,21,1,0,0,0,0,0,0,33
12,141,311,3,20,40,0,0,0,0,0,1,0,7
12,19,1121,11,27,23,0,0,0,0,0,1,0,9
14.75,156,113,1,2,32,0,0,0,0,0,1,0,33
14,155,122,1,2,32,0,0,0,0,0,1,0,3
14.67,139,1024,10,22,30,0,0,0,0,0,1,0,9
0.02,159,835,8,18,70,0,0,0,0,0,1,0,7
23.5,19,1113,11,28,25,0,1,0,0,0,0,0,2
20.5,159,1115,11,28,26,0,0,0,1,0,0,0,2
16,139,913,9,11,60,0,0,0,1,0,0,0,25
16.33,155,1912,19,47,6,0,0,0,0,0,1,0,19
16.17,19,323,3,6,69,0,0,0,0,0,1,0,2
16.67,159,2232,22,9,73,0,0,0,0,0,1,0,19
14.5,69,122,1,42,32,0,0,0,0,0,1,0,7
13.45,19,312,3,20,42,0,0,0,0,0,1,0,4
11,124,2423,24,49,1,0,0,0,0,0,1,0,33
14.73,155,1014,10,24,29,0,0,0,0,0,1,0,33
9,139,735,7,17,67,0,0,0,0,0,1,0,9
13,139,933,9,16,61,0,0,1,0,0,0,0,3
16.42,124,2422,24,49,1,0,0,0,0,0,1,0,3
8.5,139,434,4,10,51,0,0,0,0,0,1,0,4
16.75,96,1223,12,2,28,0,0,0,0,0,1,0,8
6,159,1232,12,2,28,0,0,0,0,0,1,0,33
16.75,139,1231,12,2,28,0,1,0,0,0,0,0,9
14.83,159,2531,25,29,25,0,0,0,0,0,1,0,33
11,142,835,8,18,70,0,0,0,0,0,1,0,33
15.08,159,814,8,23,56,0,0,0,0,0,1,0,19
18.7,124,1833,18,42,8,0,0,0,0,0,0,1,9
12,139,813,8,13,62,0,0,1,0,0,0,0,9
8,159,833,8,13,65,0,0,0,0,0,1,0,18
14.25,65,2512,25,36,19,0,0,0,0,0,1,0,19
15.58,139,511,5,6,49,0,0,0,0,0,1,0,8
14.5,159,825,8,15,66,0,0,0,0,0,1,0,33
12,124,1212,12,32,24,0,0,0,0,1,0,0,9
9,139,512,5,9,49,0,0,0,1,0,0,0,33
18.5,159,1914,19,46,3,0,1,0,0,0,0,0,25
9,143,1414,14,35,22,0,0,1,0,0,0,0,9
20,124,1733,17,33,16,1,0,0,0,0,0,0,9
16.68,159,421,4,7,43,0,0,0,0,0,1,0,19
4,19,1924,19,44,6,0,0,0,0,0,1,0,4
8,19,132,1,2,33,0,0,0,1,0,0,0,4
11.83,59,111,1,42,32,0,0,0,0,0,1,0,33
11.42,151,222,2,4,39,0,0,0,0,0,0,1,3
0.02,139,1812,18,43,7,0,0,0,0,0,1,0,9
12,124,1924,19,44,6,0,0,0,0,0,1,0,9
9.25,152,713,7,16,67,0,0,0,0,0,1,0,2
13.5,139,714,7,15,67,0,0,0,0,0,1,0,3
21,159,1414,14,35,22,0,1,0,0,0,0,0,7
15.75,153,726,7,15,67,0,0,0,0,0,1,0,2
16.7,140,1912,19,47,6,0,0,0,0,0,1,0,8
16.17,19,2525,25,26,22,0,0,0,0,0,1,0,3
17.73,155,1132,11,24,29,0,0,0,0,0,1,0,33
17.23,159,2221,22,21,73,0,0,0,0,0,1,0,19
15.77,155,234,2,4,41,0,0,0,0,0,1,0,3
10,159,221,2,4,38,0,0,0,0,0,1,0,18
13.18,159,235,2,5,41,0,0,0,0,0,1,0,25
12,129,922,9,12,61,0,0,0,1,0,0,0,33
17.83,141,1021,10,24,29,0,0,0,0,0,1,0,3
17.33,2,2533,25,37,25,0,0,0,0,0,1,0,8
16.75,155,1022,10,24,30,0,0,0,0,0,1,0,30
16.43,141,331,3,5,43,0,0,0,0,0,1,0,3
10.75,159,124,1,2,28,0,0,0,0,0,1,0,33
16.75,159,1023,10,28,30,0,0,0,0,0,1,0,33
16.5,19,412,4,8,47,0,0,0,0,0,1,0,3
11,155,825,8,15,66,0,0,0,0,0,1,0,2
15,153,1034,10,25,31,0,0,0,0,0,1,0,33
16.75,175,1921,19,47,5,0,0,0,0,0,1,0,33
16.92,139,1212,12,1,24,0,0,0,0,0,1,0,8
10.85,139,214,2,4,36,0,0,0,0,0,1,0,23
16.25,71,1133,11,28,27,0,0,0,0,0,1,0,33
21,17,1013,10,22,30,1,0,0,0,0,0,0,6
16.25,140,2412,24,50,2,0,0,0,0,0,1,0,18
9,139,323,3,6,69,1,0,0,0,0,0,0,9
16.67,159,235,2,5,41,0,0,0,0,0,1,0,18
14.6,19,1935,19,43,7,1,0,0,0,0,0,0,33
10,19,331,3,5,43,0,0,0,1,0,0,0,25
12.5,122,313,3,20,42,0,0,0,1,0,0,0,2
14,139,713,7,16,67,0,0,0,0,0,1,0,25
17.83,124,1832,18,42,8,0,0,0,0,0,1,0,33
16.65,175,1112,11,27,23,0,0,0,0,0,1,0,25
18.42,19,323,3,6,69,0,0,0,0,0,1,0,3
0.02,139,1122,11,27,23,0,0,0,1,0,0,0,4
17.62,159,1121,11,27,23,0,0,0,0,0,1,0,28
14.68,19,1112,11,27,23,0,0,0,0,0,1,0,2
8,140,823,8,15,66,0,0,0,0,0,1,0,4
13.75,19,1122,11,27,23,0,0,0,0,0,1,0,4
9.5,19,1122,11,28,26,0,0,0,0,0,1,0,3
13.5,142,2233,22,34,49,1,0,0,0,0,0,0,33
17.25,159,1215,12,27,24,0,0,0,0,0,1,0,33
14.92,19,835,8,18,70,0,0,0,0,0,1,0,25
9,152,1922,19,44,6,0,0,0,0,0,1,0,33
18.82,155,1533,15,28,25,0,0,0,0,0,1,0,19
13.5,139,822,8,13,62,0,0,0,0,0,1,0,4
13.5,139,1424,14,1,24,1,0,0,0,0,0,0,25
16.42,129,632,6,6,44,0,0,0,0,0,1,0,25
15.83,152,424,4,10,46,0,0,0,0,0,1,0,2
10,159,2515,25,30,19,0,0,0,0,0,1,0,7
9,139,2533,25,37,23,0,0,0,0,1,0,0,31
4,92,623,6,6,44,0,0,0,0,0,1,0,33
19,95,1823,18,27,8,0,0,0,0,0,1,0,8
8,152,2222,22,21,71,0,1,0,0,0,0,0,3
17.17,155,2032,20,47,4,0,0,0,0,0,1,0,3
18.17,19,133,1,2,35,0,0,0,0,0,1,0,9
12,143,122,1,2,32,0,0,0,0,0,1,0,33
13.42,139,1225,12,25,28,0,0,0,0,0,1,0,9
15,77,812,8,23,64,0,0,0,0,0,1,0,33
10.5,142,214,2,4,36,0,0,0,0,0,1,0,33
10,159,312,3,20,42,0,0,0,0,0,1,0,7
18.53,155,322,3,6,69,0,0,0,0,0,1,0,19
11.52,159,1113,11,28,25,0,0,0,0,0,1,0,8
12,175,132,1,2,33,0,1,0,0,0,0,0,18
12,139,1235,12,25,31,0,0,0,0,1,0,0,25
16,159,1731,17,38,16,0,1,0,0,0,0,0,7
17,141,532,5,9,53,0,0,0,0,0,1,0,7
12,139,123,1,2,32,1,0,0,0,0,0,0,9
12,159,921,9,14,58,1,0,0,0,0,0,0,7
17.5,19,931,9,20,61,0,0,0,0,0,1,0,33
19.02,127,1513,15,29,25,0,0,0,0,0,1,0,19
18.75,159,2232,22,34,73,0,0,0,0,0,1,0,19
15,152,1022,10,24,29,0,0,0,0,0,1,0,25
16.95,159,2534,25,37,23,0,0,0,0,0,1,0,3
19.42,159,1122,11,28,26,0,0,0,0,0,1,0,19
19.37,17,312,3,20,42,0,0,0,0,0,1,0,19
16.17,159,2525,25,31,20,0,0,0,0,0,1,0,9
18.08,96,1931,19,32,6,0,0,0,0,0,1,0,33
18.03,139,835,8,18,70,0,0,0,0,0,1,0,3
18,159,813,8,13,65,0,0,0,0,0,1,0,33
16.67,156,211,2,4,35,0,0,0,0,0,1,0,7
12,140,813,8,13,65,0,0,0,0,0,0,1,4
17.5,64,733,7,6,68,0,0,0,0,0,1,0,3
19.08,78,211,2,4,35,0,0,0,0,0,1,0,33
17,124,215,2,3,38,0,0,1,0,0,0,0,25
9.67,96,2032,20,47,4,0,0,0,0,0,1,0,33
18.53,19,1021,10,24,29,0,0,0,0,0,1,0,3
18,159,2032,20,47,4,0,0,0,0,1,0,0,33
17.92,159,811,8,23,64,0,0,0,0,0,1,0,19
12,19,2011,20,40,4,0,0,0,0,0,1,0,25
18.1,155,421,4,7,43,0,0,0,0,0,1,0,19
18,139,1613,16,41,10,0,1,0,0,0,0,0,3
14,139,423,4,7,46,0,1,0,0,0,0,0,7
12.27,139,1612,16,41,10,0,0,0,1,0,0,0,25
16.17,155,224,2,3,38,0,0,0,0,0,1,0,3
17.33,75,111,1,42,32,0,0,0,0,0,1,0,33
14.75,29,231,2,3,40,0,0,0,0,0,1,0,33
11,159,724,7,17,68,0,1,0,0,0,0,0,25
10.85,139,312,3,20,69,0,0,0,0,0,1,0,2
8.33,19,334,3,7,43,0,0,0,0,0,1,0,4
19.23,36,1233,12,2,28,0,0,0,0,0,1,0,19
18,19,215,2,3,38,0,0,0,0,0,1,0,2
17.42,155,623,6,6,69,0,0,0,0,0,1,0,30
14,159,614,6,21,71,0,0,1,0,0,0,0,3
17.47,159,723,7,6,68,0,0,0,0,0,1,0,7
18.6,19,724,7,17,68,0,0,0,0,0,1,0,3
19.42,159,613,6,21,71,0,0,0,0,0,1,0,25
16.52,19,715,7,15,67,0,0,0,0,0,1,0,3
18,168,735,7,17,67,0,1,0,0,0,0,0,4
9,142,1424,14,1,24,0,0,0,0,0,1,0,33
14,19,631,6,6,44,0,1,0,0,0,0,0,2
14,19,414,4,8,43,0,0,0,0,0,1,0,7
19.5,124,121,1,42,28,0,0,0,0,0,1,0,8
17.55,175,1411,14,35,21,0,0,0,0,0,1,0,3
15,159,1131,11,24,26,0,0,0,0,0,1,0,25
19.05,156,832,8,15,66,0,0,0,0,0,1,0,33
15.33,152,1012,10,24,29,0,0,0,0,0,1,0,2
9,139,1512,15,29,25,0,0,0,0,0,1,0,9
8.5,155,1012,10,24,29,0,0,0,0,0,1,0,2
13,155,921,9,14,58,0,0,0,0,0,1,0,9
15.33,152,632,6,8,44,1,0,0,0,0,0,0,3
14,117,1612,16,41,10,0,0,0,0,0,1,0,8
8.92,139,612,6,21,71,0,0,0,0,0,1,0,4
20,101,1633,16,38,15,0,0,0,0,0,1,0,3
18.5,139,2234,22,34,75,0,1,0,0,0,0,0,2
17.25,139,412,4,8,45,0,0,0,0,0,1,0,25
17.5,139,1634,16,38,15,0,1,0,0,0,0,0,9
12,139,2211,22,19,74,0,0,0,0,0,1,0,9
9.08,139,622,6,21,44,0,0,0,0,0,1,0,3
20.08,103,114,1,42,32,0,0,0,0,0,1,0,8
14.5,139,614,6,18,71,0,0,0,0,0,1,0,3
15,141,2213,22,19,72,0,0,0,1,0,0,0,2
20.2,159,1114,11,28,26,0,0,0,0,0,1,0,19
18.17,19,631,6,6,44,0,0,0,0,0,1,0,3
16.83,152,831,8,15,66,0,0,0,0,0,1,0,23
14.5,152,312,3,20,69,0,0,0,0,0,1,0,2
21,141,231,2,20,40,0,0,0,1,0,0,0,3
19,159,1532,15,28,25,1,0,0,0,0,0,0,33
13.5,139,1513,15,29,25,0,0,0,0,0,1,0,9
17,156,1531,15,37,25,0,0,0,0,0,1,0,2
19.92,159,1115,11,28,26,0,0,0,0,0,1,0,34
11.33,124,1133,11,28,27,1,0,0,0,0,0,0,9
17,124,1531,15,37,25,0,0,0,0,0,1,0,33
20.08,155,1014,10,24,29,0,0,0,0,0,1,0,19
14.5,19,1511,15,29,25,0,0,0,0,0,1,0,3
20.92,155,1112,11,27,23,0,0,0,0,0,1,0,19
11,159,1134,11,24,27,0,0,0,0,0,1,0,25
16.17,139,825,8,15,66,0,0,0,0,0,1,0,23
19.28,19,311,3,20,40,0,0,0,0,0,1,0,3
18,19,2515,25,37,19,0,1,0,0,0,0,0,23
14,141,924,9,20,61,0,0,0,0,0,0,1,33
19.27,155,1533,15,28,25,0,0,0,0,0,1,0,19
20.12,142,822,8,14,63,0,0,0,0,0,1,0,34
20.25,159,422,4,7,46,0,0,0,0,0,1,0,19
0.02,19,1213,12,1,24,0,0,0,0,1,0,0,23
21.05,159,731,7,17,69,0,0,0,0,0,1,0,19
14,19,414,4,8,43,0,0,0,0,0,1,0,7
20.67,139,323,3,6,69,0,0,0,0,0,1,0,3
18,139,412,4,8,48,0,0,1,0,0,0,0,4
20.15,124,412,4,8,48,0,0,0,0,0,1,0,3
21.42,159,724,7,17,68,0,0,0,0,0,1,0,19
19.58,159,414,4,7,43,0,0,0,0,0,1,0,19
9,156,422,4,7,46,0,0,0,0,1,0,0,9
19.47,19,1113,11,28,25,0,0,0,0,0,1,0,34
6.75,129,431,4,10,51,0,0,0,0,0,1,0,7
11.42,150,511,5,8,50,0,0,0,0,0,1,0,33
9,139,432,4,10,52,0,0,0,0,1,0,0,9
20.38,159,1522,15,29,25,0,0,0,0,0,1,0,25
16.5,19,1212,12,32,24,0,0,0,0,0,1,0,4
20,139,1223,12,2,28,0,1,0,0,0,0,0,9
16.5,159,913,9,11,60,0,0,0,0,0,1,0,7
12,19,1022,10,24,29,0,0,1,0,0,0,0,4
9,19,2011,20,40,4,0,0,0,0,0,1,0,4
19.5,139,2232,22,34,73,0,0,0,0,0,1,0,25
