Time,LocationDescription,Beat,District,Ward,CommunityArea,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,PrimaryType
7.33,19,2413,24,50,2,0,0,0,0,1,0,0,3
7.5,129,413,4,7,48,1,0,0,0,0,0,0,7
3.5,101,411,4,8,43,0,0,1,0,0,0,0,3
14,129,433,4,10,55,0,0,0,0,0,1,0,7
16,159,2432,24,40,1,0,0,0,0,0,0,1,33
16,75,1834,18,42,8,0,1,0,0,0,0,0,9
19,124,1533,15,28,25,0,0,0,0,0,0,1,7
7.25,159,1622,16,45,11,0,0,0,0,1,0,0,33
15.25,122,1225,12,2,28,0,0,0,0,0,0,1,2
18.5,159,1235,12,25,31,0,0,0,0,0,0,1,7
21,159,1224,12,27,28,0,0,0,0,0,0,1,7
17.02,124,932,9,16,61,0,0,0,0,0,0,1,3
7.42,155,432,4,10,52,0,0,0,0,1,0,0,2
7.85,129,1831,18,42,8,0,0,0,0,0,0,1,33
22,139,1011,10,24,29,0,0,0,0,0,0,1,7
6.83,92,322,3,6,69,0,0,0,0,1,0,0,33
7.5,19,312,3,20,42,0,0,0,0,1,0,0,3
7,159,1723,17,39,14,0,0,0,0,1,0,0,33
3,159,1632,16,36,17,0,0,1,0,0,0,0,7
7.17,19,2514,25,30,19,0,0,0,0,1,0,0,2
0,19,624,6,8,69,0,0,0,0,0,0,1,33
5.15,19,1533,15,28,25,0,0,0,0,1,0,0,19
6.45,19,322,3,6,69,0,0,0,0,1,0,0,3
8.5,159,815,8,23,56,0,0,0,0,1,0,0,2
7.5,139,835,8,18,66,0,0,0,0,1,0,0,3
23.5,129,815,8,23,56,0,0,0,0,0,0,1,7
6.95,124,835,8,18,70,0,0,0,0,1,0,0,25
10,124,1634,16,38,15,0,0,0,0,0,0,1,18
9.5,155,1634,16,30,15,0,0,0,0,0,0,1,30
21,159,1423,14,26,24,0,1,0,0,0,0,0,33
7.5,159,2522,25,31,20,0,0,0,0,1,0,0,18
20,159,1431,14,1,22,0,1,0,0,0,0,0,33
17,159,1414,14,35,22,0,0,0,1,0,0,0,33
